"make","mileage","model","vin","price_july_22","price_aug_11","percentage_of_difference"
"RAM",10982,"1500 Laramie","1C6SRFDT6LN169797",43995.0,43750.0,-0.6
"Jeep",19984,"Grand Cherokee Limited","1C4RJFBG0MC639470",45949.0,45687.0,-0.6
"BMW",49676,"330 i xDrive","3MW5R7J54K8A26492",34790.0,34590.0,-0.6
"Buick",54069,"Enclave Essence","5GAEVAKW0KJ126548",34999.0,34799.0,-0.6
"RAM",36179,"1500 Laramie","1C6SRFJT5MN566035",55500.0,55250.0,-0.5
"INFINITI",37874,"QX60 Luxe","5N1DL0MM8KC530557",36999.0,36799.0,-0.5
"Buick",59723,"Enclave Essence","5GAEVAKW3KJ263077",33985.0,33799.0,-0.5
"BMW",11227,"X5 xDrive40i","5UXCR6C55KLL60720",58242.0,57994.0,-0.4
"GMC",58941,"Yukon SLT","1GKS2BKC8LR273259",46999.0,46799.0,-0.4
"BMW",13445,"X5 xDrive40i","5UXCR6C53KLK84026",56699.0,56499.0,-0.4
"GMC",58981,"Yukon SLT","1GKS2BKC0LR212035",46999.0,46799.0,-0.4
"Mazda",29750,"CX-5 Grand Touring","JM3KFBDMXK0678202",31599.0,31499.0,-0.3
"Lexus",37317,"RX 350 Base","2T2BZMCA2KC176207",44998.0,44899.0,-0.2
"RAM",13280,"1500 Laramie","1C6SRFJT4LN367797",47998.0,47899.0,-0.2
"Ford",15585,"F-150 XLT","1FTEW1EP9LKF03664",43990.0,43887.0,-0.2
"Mazda",62935,"CX-5 Grand Touring","JM3KE4DYXG0770399",23217.0,23197.0,-0.1
"Honda",75988,"Civic Sport","2HGFC2F84KH509793",18952.0,18952.0,0.0
"Ford",18736,"F-150 King Ranch","1FTEW1E47LFB79516",59990.0,59990.0,0.0
"Jeep",25915,"Grand Cherokee Limited","1C4RJFBG5LC282883",38995.0,38995.0,0.0
"Kia",284,"Telluride SX","5XYP5DHC0NG280767",64999.0,64999.0,0.0
"RAM",30850,"1500 Big Horn","1C6SRFFT0LN163300",44997.0,44997.0,0.0
"Jeep",20045,"Grand Cherokee Limited","1C4RJFBG6LC209523",44999.0,44999.0,0.0
"Ford",32260,"Focus SE","1FADP3FEXJL266424",17998.0,17998.0,0.0
"Jeep",42227,"Wrangler Unlimited Sahara","1C4BJWEG7HL721778",36991.0,36991.0,0.0
"Toyota",37866,"RAV4 LE","2T3F1RFV8KC004036",29973.0,29973.0,0.0
"Honda",27814,"CR-V EX-L","5J6RW2H84KL032425",32615.0,32615.0,0.0
"Chevrolet",42403,"Equinox 1LT","3GNAXUEV9LS536977",25526.0,25526.0,0.0
"Volvo",98555,"S60 T5","YV1612FS0E1299240",13998.0,13998.0,0.0
"Subaru",90432,"Forester 2.5i Premium","JF2SJAGC6JH477158",22988.0,22988.0,0.0
"Volkswagen",36625,"Tiguan 2.0T SE","3VV2B7AX9KM185478",28985.0,28985.0,0.0
"Subaru",23985,"Impreza 2.0i Premium","4S3GKAD63K3621585",24995.0,24995.0,0.0
"Kia",2518,"Telluride SX","5XYP5DHC2NG276851",63988.0,63988.0,0.0
"Subaru",82137,"Ascent Limited 7-Passenger","4S4WMAMD9K3411864",30495.0,30495.0,0.0
"Ford",16580,"Escape SE","1FMCU9G68LUB91613",29750.0,29750.0,0.0
"Honda",43161,"HR-V LX","3CZRU6H31JG718063",18942.0,18942.0,0.0
"Mazda",17847,"CX-9 Touring","JM3TCBCYXK0336105",35899.0,35899.0,0.0
"Ford",54454,"F-150 Lariat","1FTEW1E5XJKE58620",41999.0,41999.0,0.0
"Honda",5626,"Civic EX","SHHFK7H64LU225077",29998.0,29998.0,0.0
"Toyota",56100,"Camry LE","4T1B11HK7KU719013",25998.0,25998.0,0.0
"Subaru",42824,"Crosstrek 2.0i Premium","JF2GTAEC4KH268912",28989.0,28989.0,0.0
"BMW",35151,"328 i","WBADW7C54CE729168",23995.0,23995.0,0.0
"Honda",23118,"Pilot EX-L","5FNYF6H53LB056721",39977.0,39977.0,0.0
"Honda",33178,"CR-V EX","5J6RW2H52KL033000",30498.0,30498.0,0.0
"Subaru",27313,"Forester Limited","JF2SKAUC6KH558566",33989.0,33989.0,0.0
"Ford",42850,"F-150 Lariat","1FTEW1EP1JFC01954",41091.0,41091.0,0.0
"Toyota",50071,"Highlander XLE","5TDGZRAH0LS502585",36182.0,36182.0,0.0
"Honda",24414,"CR-V EX-L","2HKRW2H85LH664362",33999.0,33999.0,0.0
"Mazda",44513,"Mazda3 i Grand Touring","3MZBM1W76FM179896",19764.0,19764.0,0.0
"GMC",38708,"Acadia Limited Limited","1GKKVSKD6HJ263898",24997.0,24997.0,0.0
"Ford",39072,"Escape SEL","1FMCU9HX6DUD39024",15995.0,15995.0,0.0
"Honda",29022,"Odyssey EX-L","5FNRL6H7XKB126051",38998.0,38998.0,0.0
"Lincoln",10618,"Aviator Reserve AWD","5LM5J7XC2LGL15785",59998.0,59998.0,0.0
"Subaru",21113,"Forester 2.5i Limited","JF2SJARC1JH535433",23590.0,23590.0,0.0
"Toyota",95561,"Sienna Limited","5TDBK22C59S026884",11998.0,11998.0,0.0
"Honda",27733,"Odyssey EX-L","5FNRL6H75KB058418",40669.0,40669.0,0.0
"Mazda",20601,"Mazda3 2.5 Turbo Premium Plus","JM1BPBNY3M1333520",35599.0,35599.0,0.0
"Toyota",10121,"Highlander XLE","5TDGZRBH0MS132254",48477.0,48477.0,0.0
"Honda",37112,"CR-V EX","5J6RW2H5XKL016963",30295.0,30295.0,0.0
"Cadillac",55775,"XT5 Luxury","1GYKNDRS7HZ256756",25500.0,25500.0,0.0
"Honda",31155,"Odyssey EX-L","5FNRL6H7XKB087087",40427.0,40427.0,0.0
"Jeep",24926,"Grand Cherokee Limited","1C4RJFBG1KC703240",36596.0,36596.0,0.0
"Cadillac",68872,"XT5 Luxury","1GYKNBRS9HZ267505",22900.0,22900.0,0.0
"Ford",39738,"F-150 Lariat","1FTEW1EP9JFE11699",43010.0,43010.0,0.0
"Toyota",19695,"Highlander Hybrid LE","5TDBBRCH5MS034754",45990.0,45990.0,0.0
"Honda",30788,"CR-V EX-L","2HKRW2H84KH629813",32491.0,32491.0,0.0
"Honda",22422,"Civic LX","2HGFC2F65KH591693",24433.0,24433.0,0.0
"Cadillac",59790,"XT5 Luxury","1GYKNBRS0HZ232142",24400.0,24400.0,0.0
"Volvo",91400,"S60 T5","YV1612FH5E2272517",14900.0,14900.0,0.0
"Honda",19519,"Civic EX","19XFC1F32LE200575",30998.0,30998.0,0.0
"Jeep",15267,"Wrangler Unlimited Sport Altitude","1C4HJXDNXMW610635",47290.0,47290.0,0.0
"Mazda",41948,"CX-5 Sport","JM3KE4BYAG0758459",16987.0,16987.0,0.0
"Lincoln",39833,"Aviator Reserve AWD","5LM5J7XC7LGL16933",54999.0,54999.0,0.0
"GMC",64337,"Acadia Denali","1GKKNXLS1KZ175652",37496.0,37496.0,0.0
"Ford",14345,"Fusion SE","3FA6P0HD6JR213409",23891.0,23891.0,0.0
"Jeep",19314,"Wrangler Unlimited Sport Altitude","1C4HJXDG7MW578583",47990.0,47990.0,0.0
"INFINITI",56320,"QX60 Luxe","5N1DL0MM7KC515001",39990.0,39990.0,0.0
"Mercedes-Benz",24182,"GLC 300 Base 4MATIC","WDC0G6EBXKF659075",43997.0,43997.0,0.0
"Honda",46089,"Odyssey EX-L","5FNRL6H75KB084789",37995.0,37995.0,0.0
"Hyundai",83708,"Elantra GT Base","KMHD35LH7HU353035",14983.0,14983.0,0.0
"Mercedes-Benz",17596,"GLE 350 Base 4MATIC","4JGFB4KB8LA090938",59995.0,59995.0,0.0
"Honda",27737,"CR-V EX-L","7FARW2H83KE044952",32620.0,32620.0,0.0
"Honda",31662,"Civic Sport","19XFC2F87KE012943",26667.0,26667.0,0.0
"Subaru",17834,"Legacy Premium","4S3BWAF67M3013566",24900.0,24900.0,0.0
"Jeep",16573,"Wrangler Sport","1C4GJXAG6MW630334",39590.0,39590.0,0.0
"Jeep",86925,"Grand Cherokee Altitude","1C4RJFAG8HC853100",27998.0,27998.0,0.0
"Mazda",33302,"CX-9 Grand Touring","JM3TCBDY9L0404216",38599.0,38599.0,0.0
"Ford",35891,"F-150 XLT","1FTEW1EP4LKF17620",43999.0,43999.0,0.0
"Chevrolet",22513,"Equinox 1LT","3GNAXKEV7LL319670",25983.0,25983.0,0.0
"Honda",19251,"CR-V LX","2HKRW6H38KH222881",28593.0,28593.0,0.0
"RAM",24141,"1500 Laramie","1C6SRFJT5MN773900",50775.0,50775.0,0.0
"Jeep",12395,"Grand Cherokee Laredo","1C4RJFAG0MC515880",42977.0,42977.0,0.0
"Volkswagen",45972,"Tiguan Limited 2.0T","WVGBV7AX4HK046537",24993.0,24993.0,0.0
"GMC",35277,"Sierra 1500 Denali","1GTU9FED2LZ295690",55193.0,55193.0,0.0
"RAM",21877,"1500 Laramie","1C6SRFJT8LN326220",52998.0,52998.0,0.0
"Ford",14997,"Escape Titanium","1FMCU9J96KUA54669",32999.0,32999.0,0.0
"Dodge",24408,"Durango R/T","1C4SDJCT8MC549054",51699.0,51999.0,0.6
"BMW",31675,"X3 xDrive30i","5UXTR9C53KLR04195",39980.0,40680.0,1.8
"Ford",19046,"Bronco Sport Big Bend","3FMCR9B63MRA63359",37988.0,38988.0,2.6
"MINI",24101,"Countryman Cooper S ALL4","WMZYT5C59K3G92178",36288.0,38188.0,5.2
"Chevrolet",32246,"Tahoe Premier","1GNSKCKC4LR306072",68995.0,NULL,NULL
"Honda",27550,"CR-V EX-L","2HKRW2H82LH632050",34990.0,NULL,NULL
"Honda",28309,"CR-V Touring","7FARW2H94KE010298",32290.0,NULL,NULL
"Land",40982,"Rover Discovery SE","SALRG2RV6JA075402",41399.0,NULL,NULL
"Honda",32863,"CR-V EX-L","7FARW2H86KE017812",31990.0,NULL,NULL
"Toyota",22551,"RAV4 LE","2T3F1RFV0KW065184",32299.0,NULL,NULL
"RAM",56064,"1500 Express","1C6RR7FT4HS575488",28999.0,NULL,NULL
"Honda",28185,"CR-V LX","2HKRW6H30KH216671",27000.0,NULL,NULL
"Ford",94870,"Explorer Limited","1FM5K8F81HGC70185",28000.0,NULL,NULL
"BMW",96918,"328 i xDrive","WBAPK7C56AA771077",11998.0,NULL,NULL
"Volkswagen",30911,"Tiguan 2.0T SE","3VV2B7AX9LM025473",30995.0,NULL,NULL
"Toyota",28695,"Highlander XLE","5TDJZRFHXKS711653",38998.0,NULL,NULL
"Ford",8301,"Edge Titanium","2FMPK4K91LBA68415",39998.0,NULL,NULL
"Mazda",27261,"CX-9 Touring","JM3TCBCY0K0317417",32199.0,NULL,NULL
"Toyota",21495,"Camry SE","4T1B11HK2KU743767",28995.0,NULL,NULL
"Subaru",18906,"Outback 2.5i Limited","4S4BSAJC5K3291500",32989.0,NULL,NULL
"Ford",22851,"F-150 XLT","1FTEW1EP9KFB80224",45998.0,NULL,NULL
"Ford",21491,"Mustang EcoBoost Premium","1FATP8UH5L5139285",39988.0,NULL,NULL
"Honda",48781,"Civic Sport","SHHFK7H45JU217470",24500.0,NULL,NULL
"RAM",32225,"1500 Laramie","1C6SRFJT0LN371961",51000.0,NULL,NULL
"Ford",40692,"Fusion Hybrid SE","3FA6P0LU4KR242464",26498.0,NULL,NULL
"Honda",19456,"CR-V EX-L","5J6RW2H85KA009358",32863.0,NULL,NULL
"Chevrolet",85029,"Traverse 1LT","1GNKVGKD6GJ229359",20000.0,NULL,NULL
"Subaru",25882,"Outback Limited","4S4BTAMC6M3132559",33999.0,NULL,NULL
"Ford",40159,"Edge SEL","2FMPK4J97JBC32037",27646.0,NULL,NULL
"Hyundai",19950,"Kona SEL Plus","KM8K6CAA9MU619030",28540.0,NULL,NULL
"BMW",96081,"X3 xDrive35i","5UXWX7C52E0E80380",19500.0,NULL,NULL
