"make","mileage","model","vin","price_july_22","price_aug_11","percentage_of_difference"
"INFINITI",29737,"QX60 Luxe","5N1DL0MM2KC529422",28974.0,NULL,NULL
"Toyota",27050,"Camry SE","4T1B11HK0KU193470",28785.0,NULL,NULL
"Buick",57275,"Cascada Premium","W04WT3N52GG108543",20950.0,NULL,NULL
"GMC",23131,"Yukon Denali","1GKS2DKL4MR317190",83970.0,NULL,NULL
"Chevrolet",83353,"Traverse LTZ","1GNKVJKD1GJ250956",23486.0,NULL,NULL
"Ford",67593,"Escape Titanium","1FMCU9J98EUA05459",18497.0,NULL,NULL
"Chevrolet",65641,"Equinox 1LT","3GNAXJEVXJS645962",19990.0,NULL,NULL
"Honda",13284,"Accord Sport 1.5T","1HGCV1F31LA154934",31999.0,NULL,NULL
"Subaru",38399,"Outback Onyx Edition XT","4S4BTGHD1L3185142",34444.0,NULL,NULL
"Lexus",33320,"LX 570 570","JTJHY7AX1K4283887",82999.0,NULL,NULL
"GMC",47365,"Terrain Denali","3GKALXEX9LL283956",35976.0,NULL,NULL
"Chevrolet",54038,"Equinox 1LT","3GNAXKEV9KS517297",22990.0,NULL,NULL
"Lexus",57900,"RX 350 F Sport","2T2BZMCA4HC065909",39499.0,NULL,NULL
"Toyota",14008,"RAV4 XLE","2T3P1RFV4KW079206",32973.0,NULL,NULL
"Chevrolet",43344,"Equinox 1LT","2GNFLFEKXG6228918",20998.0,NULL,NULL
"Kia",120,"Telluride SX","5XYP5DHC6NG278439",59998.0,NULL,NULL
"Ford",36815,"F-150 Lariat","1FTFW1E57JKD07478",43987.0,NULL,NULL
"Ford",62502,"Escape SE","1FMCU9GD9KUB61050",23495.0,NULL,NULL
"Nissan",45595,"Rogue SV","5N1AT2MV3JC786675",24998.0,NULL,NULL
"Ford",36999,"F-150 XLT","1FTEW1EPXLKE00219",43499.0,NULL,NULL
"Chevrolet",40176,"Equinox Premier w/2LZ","3GNAXYEX1LS620848",34796.0,NULL,NULL
"Kia",31780,"Sorento LX","5XYPGDA39GG133791",21988.0,NULL,NULL
"Toyota",42340,"Camry LE","4T1B11HKXKU785880",26985.0,NULL,NULL
"GMC",24563,"Yukon Denali","1GKS2DKLXMR227560",87998.0,NULL,NULL
"Ford",51585,"F-150 XLT","1FTEW1EP3KKE80199",38475.0,NULL,NULL
"Hyundai",2429,"Kona SEL","KM8K6CAB2NU902279",28495.0,NULL,NULL
"BMW",44624,"X5 xDrive35i","5UXKR0C30H0V82910",38480.0,NULL,NULL
"Jeep",44905,"Grand Cherokee Altitude","1C4RJFCG4KC688702",41646.0,NULL,NULL
"Mazda",31986,"CX-30 Select","3MVDMBBL4MM217898",26599.0,NULL,NULL
"Kia",24831,"Sportage LX","KNDPMCACXK7605814",25998.0,NULL,NULL
"Toyota",46254,"RAV4 Limited","JTMDFREV6HJ167123",28995.0,NULL,NULL
"Jeep",84813,"Grand Cherokee Limited","1C4RJFBG3JC138276",30233.0,NULL,NULL
"Subaru",88511,"Outback 2.5i Limited","4S4BSANC7H3299519",24397.0,NULL,NULL
"Subaru",7387,"Outback Onyx Edition XT","4S4BTGKD7L3151974",38998.0,NULL,NULL
"Ford",48472,"Edge SE","2FMPK4G97JBC58628",23999.0,NULL,NULL
"Subaru",40060,"Impreza 2.0i","4S3GKAA68H3601314",16823.0,NULL,NULL
"Ford",73657,"Mustang Base","1FAFP4445XF123008",4997.0,NULL,NULL
"Chevrolet",4637,"Equinox 1LT","3GNAXUEV5ML379203",29500.0,NULL,NULL
"Acura",6867,"RDX A-Spec","5J8TC2H62ML044578",46988.0,NULL,NULL
"RAM",51226,"1500 Laramie","1C6SRFJT2LN289777",43726.0,NULL,NULL
"Honda",39170,"CR-V EX","5J6RW2H51KL021744",29999.0,NULL,NULL
"RAM",41918,"1500 Big Horn","3C6RR7LT5GG383572",30990.0,NULL,NULL
"Chevrolet",16059,"Equinox LT","3GNAXUEV0ML328062",31599.0,NULL,NULL
"Ford",89499,"Focus SE","1FADP3F21JL270416",14642.0,NULL,NULL
"Chevrolet",17346,"Equinox 1LT","2GNAXKEV1K6185841",24499.0,NULL,NULL
"Chevrolet",11272,"Silverado 1500 LTZ","1GCUYGED4KZ419630",50495.0,NULL,NULL
"BMW",23234,"X2 xDrive28i","WBXYJ5C37JEF82529",32490.0,NULL,NULL
"Ford",30060,"Fusion SE","3FA6P0HD9LR148820",24999.0,NULL,NULL
"Chevrolet",65202,"Equinox 1LT","3GNAXUEV5KS516059",22999.0,NULL,NULL
"Chrysler",84467,"300 S","2C3CCAGG3FH892315",15900.0,NULL,NULL
"Lexus",87652,"RX 350 Base","2T2BK1BA2CC147859",19999.0,NULL,NULL
"Toyota",43563,"RAV4 Hybrid LE","2T3MWRFV9KW027462",35995.0,NULL,NULL
"Chevrolet",33507,"Equinox 1LT","2GNAXKEV8K6306574",23998.0,NULL,NULL
"Dodge",48053,"Challenger GT","2C3CDZKG6KH540617",32125.0,NULL,NULL
"Ford",66246,"Focus SE","1FADP3F23GL253903",13995.0,NULL,NULL
"Nissan",79602,"Rogue SV","KNMAT2MV1HP562148",18398.0,NULL,NULL
"Toyota",35200,"Tundra SR5","5TFDY5F12LX880623",48995.0,NULL,NULL
"Audi",67744,"A6 2.0T Premium Plus quattro","WAUGFAFC7DN077877",19690.0,NULL,NULL
"Honda",27358,"CR-V EX-L","7FARW2H84LE021438",35001.0,NULL,NULL
"Buick",57056,"Enclave Leather","5GAKVBKD6HJ261498",28998.0,NULL,NULL
"RAM",89239,"1500 Big Horn","3C6RR7LT4HG544513",27900.0,NULL,NULL
"Lincoln",20605,"Aviator Reserve AWD","5LM5J7XC2LGL06178",69684.0,NULL,NULL
"Land",62087,"Rover Range Rover Evoque SE Premium","SALVP2BG9HH170418",30000.0,NULL,NULL
"Nissan",8339,"Murano S","5N1AZ2AS7LN113968",29998.0,NULL,NULL
"Lexus",49877,"LX 570 Base","JTJHY7AX3H4233999",70999.0,NULL,NULL
"Ford",92942,"Focus Titanium","1FADP3N26EL423170",11990.0,NULL,NULL
"Honda",31171,"CR-V Touring","7FARW2H96KE031587",31495.0,NULL,NULL
"GMC",42799,"Acadia Denali","1GKKNXLS8HZ118891",32991.0,NULL,NULL
"Nissan",89178,"Murano S","JN8AZ1MW3CW221645",11995.0,NULL,NULL
"Toyota",32965,"Corolla LE","5YFEPMAE0MP242222",26485.0,NULL,NULL
"Ford",74126,"Taurus SHO","1FAHP2KT8DG118754",19662.0,NULL,NULL
"Audi",55319,"A4 2.0T Premium Plus","WAUENAF4XJA204322",32011.0,NULL,NULL
"Chevrolet",81752,"Suburban LT","1GNSKHKC0JR281973",41990.0,NULL,NULL
"Mazda",41888,"CX-5 Sport","JM3KE4BY3G0781036",22599.0,NULL,NULL
"Toyota",38597,"RAV4 LE","2T3F1RFVXKW069890",34343.0,NULL,NULL
"Chevrolet",89244,"Equinox LT","2GNALCEK1G1151880",13497.0,NULL,NULL
"GMC",14093,"Sierra 1500 AT4","1GTP9EEDXMZ231132",56977.0,NULL,NULL
"Chevrolet",26036,"Blazer TRUE NORTH PLUS","3GNKBHRS8KS652115",37998.0,NULL,NULL
"Subaru",14902,"Outback Touring XT","4S4BTGPD1L3255305",39989.0,NULL,NULL
"Subaru",18105,"Outback Onyx Edition XT","4S4BTGKD2L3185305",37998.0,NULL,NULL
"Subaru",48604,"Forester Premium","JF2SKAGC5LH422958",29895.0,NULL,NULL
"Hyundai",91139,"Santa Fe Sport 2.0L Turbo","5XYZWDLA1GG316089",20459.0,NULL,NULL
"Buick",82255,"Enclave Essence","5GAEVAKW8JJ247133",28975.0,NULL,NULL
"Hyundai",58105,"Tucson Ultimate","KM8J3CAL6LU224565",28964.0,NULL,NULL
"Chevrolet",49761,"Equinox 1LT","3GNAXJEV2JL410644",23995.0,NULL,NULL
"Kia",53910,"Sportage LX","KNDPMCAC4H7039366",19999.0,NULL,NULL
"Jeep",55228,"Wrangler JK Unlimited Rubicon","1C4HJWFG1JL915737",42998.0,NULL,NULL
"Ford",23877,"F-150 XLT","1FTEW1EP0KFC46496",44999.0,NULL,NULL
"Volkswagen",53288,"Tiguan 2.0T SE","3VV2B7AX4JM066641",25975.0,NULL,NULL
"Lexus",23241,"RX 350 350","2T2BZMCA8KC185820",45509.0,NULL,NULL
"Toyota",41256,"RAV4 LE","2T3F1RFV5MW176669",29599.0,NULL,NULL
"Chevrolet",81615,"Equinox 2LT","2GNAXTEV5L6241478",23990.0,NULL,NULL
"Toyota",52863,"RAV4 XLE","JTMP1RFV1KD010907",33685.0,NULL,NULL
"Kia",38702,"Sorento LX V6","5XYPGDA53KG522128",29988.0,NULL,NULL
"Honda",42665,"Accord LX","1HGCV1F19KA045537",26995.0,NULL,NULL
"Ford",37770,"F-150 XLT","1FTEW1E40KFD33689",39990.0,NULL,NULL
"Toyota",20127,"Corolla LE","JTDEPMAE5MJ119164",26985.0,NULL,NULL
"Ford",40163,"Expedition XLT","1FMJU1JT2KEA24714",50000.0,NULL,NULL
"Honda",24402,"HR-V LX","3CZRU6H30HG708683",17497.0,NULL,NULL
"RAM",13975,"1500 Big Horn","1C6SRFFTXMN539177",47954.0,NULL,NULL
"BMW",32458,"X5 xDrive40i","5UXCR6C55KLL06446",55980.0,NULL,NULL
"Honda",31012,"CR-V EX-L","7FARW2H80KE016445",30998.0,NULL,NULL
"Toyota",84000,"RAV4 XLE","2T3RFREV0JW700659",27995.0,NULL,NULL
"Acura",29595,"MDX 3.5L w/Technology Package","5J8YD4H55KL024280",41995.0,NULL,NULL
"Honda",24537,"CR-V EX","2HKRW2H53KH642512",29891.0,NULL,NULL
"Mercedes-Benz",82337,"C-Class C300 4MATIC","55SWF4KB7FU079870",21998.0,NULL,NULL
"Toyota",35217,"4Runner TRD Off Road","JTEBU5JR1K5709576",47094.0,NULL,NULL
"Buick",51046,"Enclave Essence","5GAEVAKWXKJ220159",36399.0,NULL,NULL
"Honda",55705,"CR-V Touring","5J6RW2H90KL023374",30568.0,NULL,NULL
"Ford",24666,"Explorer Platinum","1FM5K8HC3MGB02253",51871.0,NULL,NULL
"Chevrolet",26723,"Traverse LT Leather","1GNEVHKW4LJ124625",40975.0,NULL,NULL
"Ford",82102,"F-150 XLT","1FTEW1EF6GFD41806",34998.0,NULL,NULL
"Toyota",58926,"Corolla S Plus","5YFBURHEXFP204613",18980.0,NULL,NULL
"Chevrolet",24770,"Equinox 2LT","2GNAXTEV3L6259025",26398.0,NULL,NULL
"Chevrolet",55896,"Tahoe Premier","1GNSKCKC7LR214308",51998.0,NULL,NULL
"Mercedes-Benz",37947,"GLC 300 Base 4MATIC","WDC0G4KB0JV055001",36408.0,NULL,NULL
"Kia",51446,"Sportage LX","KNDPMCAC0K7617471",22988.0,NULL,NULL
"Hyundai",45538,"Accent SE","3KPC24A36KE047342",17568.0,NULL,NULL
"Subaru",78270,"Forester 2.5i Premium","JF2SJAEC3HH574542",23988.0,NULL,NULL
"Jeep",82799,"Compass High Altitude","1C4NJDEBXGD744907",16488.0,NULL,NULL
"Ford",98118,"Focus SE","1FADP3K24EL229970",10990.0,NULL,NULL
"BMW",33600,"X2 xDrive28i","WBXYJ5C31JEF72465",25742.0,NULL,NULL
"Honda",60455,"Accord LX","1HGCV1F1XKA096948",25990.0,NULL,NULL
"Chevrolet",70623,"Equinox 1LT","3GNAXKEV6KL339603",19999.0,NULL,NULL
"Ford",20897,"Mustang GT","1ZVBP8FF7C5275870",32000.0,NULL,NULL
"Chevrolet",75453,"Cruze LT","3G1BE6SM0HS587634",14997.0,NULL,NULL
"Toyota",24826,"Tacoma SR","5TFSX5EN8KX067896",32900.0,NULL,NULL
"Subaru",28500,"Outback Touring XT","4S4BTGPD6L3168984",38989.0,NULL,NULL
"Ford",44044,"F-150 XLT","1FTEW1EP1KFB17344",37919.0,NULL,NULL
"Honda",62458,"Odyssey EX-L","5FNRL5H62DB065542",22999.0,NULL,NULL
"Honda",41896,"CR-V EX","5J6RW2H59KL011804",29998.0,NULL,NULL
"Honda",12066,"CR-V EX-L","7FARW2H84KE062005",32695.0,NULL,NULL
"Jeep",20420,"Wrangler Unlimited Sport S","1C4HJXDN2LW224337",41599.0,NULL,NULL
"Ford",51545,"F-150 XLT","1FTEW1EP9KFC86544",38995.0,NULL,NULL
"Honda",47478,"CR-V EX","5J6RW2H53KL024001",28898.0,NULL,NULL
"Kia",42865,"Sportage LX","KNDPMCAC9H7247386",16972.0,NULL,NULL
"Ford",81637,"Explorer Limited","1FM5K8F83EGB00986",21495.0,NULL,NULL
"Buick",75274,"LaCrosse Premium 2","1G4GF5E31CF222640",15992.0,NULL,NULL
"RAM",48828,"1500 Big Horn","1C6RR7LG2HS827892",30999.0,NULL,NULL
"RAM",46865,"1500 Laramie","1C6RR7NMXGS289086",34444.0,NULL,NULL
"Toyota",16225,"Tacoma SR5","5TFCZ5AN5MX256707",42000.0,NULL,NULL
"Subaru",20136,"Outback Onyx Edition XT","4S4BTGKD4L3114378",37599.0,NULL,NULL
"RAM",24594,"1500 Big Horn","1C6SRFFT5KN876059",41490.0,NULL,NULL
"Ford",26052,"Mustang EcoBoost Premium","1FATP8UH4J5124774",30998.0,NULL,NULL
"Jeep",43287,"Cherokee Trailhawk","1C4PJMBX3KD240247",28691.0,NULL,NULL
"Honda",33594,"CR-V LX","2HKRW6H34KH208704",26995.0,NULL,NULL
"Ford",50691,"F-150 Platinum","1FTFW1ED1MFA94435",63877.0,NULL,NULL
"Ford",37594,"Explorer XLT","1FMSK8DH8LGA79359",39998.0,NULL,NULL
"Buick",30493,"Enclave Essence","5GAEVAKW8JJ191291",36299.0,NULL,NULL
"Hyundai",37662,"Elantra SE","5NPD74LF8KH450411",19827.0,NULL,NULL
"Jeep",42650,"Grand Cherokee Laredo","1C4RJFAG1JC328403",29799.0,NULL,NULL
"Ford",58640,"Explorer Limited","1FM5K8FH3GGD13763",27998.0,NULL,NULL
"Honda",47836,"HR-V LX","3CZRU6H34HG707424",23995.0,NULL,NULL
"Mazda",31003,"CX-30 Select","3MVDMBBL7MM217913",26599.0,NULL,NULL
"Ford",12180,"Escape SE","1FMCU9G66LUB23326",29995.0,NULL,NULL
"RAM",28661,"1500 Laramie","1C6SRFJT2MN736710",51558.0,NULL,NULL
"Nissan",29347,"Rogue SL","5N1AT2MV5KC779986",29998.0,NULL,NULL
"Mazda",22884,"MX-5 Miata Grand Touring","JM1NDAD72G0119766",25999.0,NULL,NULL
"Mercedes-Benz",25873,"GLC 300 Base 4MATIC","WDC0G4KB6KV160997",40550.0,NULL,NULL
"Cadillac",22613,"XT6 Premium Luxury AWD","1GYKPDRS0LZ118723",52998.0,NULL,NULL
"Subaru",21229,"Crosstrek 2.0i Premium","JF2GTAEC1K8328998",27995.0,NULL,NULL
"Jeep",31688,"Grand Cherokee Limited","1C4RJFBG6KC583712",35599.0,NULL,NULL
"Jeep",41735,"Cherokee Latitude Plus","1C4PJMLN0KD257696",27629.0,NULL,NULL
"Chevrolet",51251,"Silverado 1500 LTZ","3GCUYGED0KG143690",44999.0,NULL,NULL
"Toyota",63075,"Camry LE","4T1B11HK7KU241286",25409.0,NULL,NULL
"Hyundai",69017,"Elantra Value Edition","KMHD84LF3JU495270",18998.0,NULL,NULL
"Ford",41752,"F-150 Lariat","1FTFW1E47LFB54426",52533.0,NULL,NULL
"Jeep",52060,"Grand Cherokee Limited","1C4RJFBG0FC237144",25498.0,NULL,NULL
"Kia",22903,"Sportage LX","KNDPMCAC3L7638414",28852.0,NULL,NULL
"Subaru",49665,"Ascent Limited 7-Passenger","4S4WMAPD2K3417341",34495.0,NULL,NULL
"Toyota",23385,"Corolla LE","5YFEPMAE1MP172584",26900.0,NULL,NULL
"Ford",42011,"Edge SE","2FMPK4G95JBC06916",23799.0,NULL,NULL
"Hyundai",28928,"Tucson SEL","KM8J3CAL4KU022709",28000.0,NULL,NULL
"GMC",65712,"Yukon SLT","1GKS2BKC9LR206217",47295.0,NULL,NULL
"Jeep",66960,"Wrangler Unlimited Sport","1C4BJWDG6HL602220",31699.0,NULL,NULL
"Kia",64393,"Sorento LX","5XYPGDA57LG613842",24397.0,NULL,NULL
"Chevrolet",40339,"Equinox 1LT","2GNAXSEV3J6332269",17995.0,NULL,NULL
"Toyota",26797,"RAV4 XLE","2T3P1RFV1KW057888",34000.0,NULL,NULL
"Toyota",19035,"Highlander XLE","5TDGZRBH2LS038410",42989.0,NULL,NULL
"Ford",38248,"F-150 Lariat","1FTEW1E52KKE94495",46399.0,NULL,NULL
"GMC",27254,"Sierra 1500 Denali","3GTU9FEL5LG408622",59995.0,NULL,NULL
"Mercedes-Benz",33176,"GLE 350 Base 4MATIC","4JGFB4KEXLA122802",58015.0,NULL,NULL
"Toyota",41701,"RAV4 LE","2T3F1RFVXMW195055",29799.0,NULL,NULL
"Honda",12926,"CR-V EX-L","5J6RW2H86KL024097",33595.0,NULL,NULL
"Honda",26004,"CR-V EX-L","5J6RW2H85KL017772",32498.0,NULL,NULL
"Honda",45674,"Odyssey EX-L","5FNRL6H75KB078345",37998.0,NULL,NULL
"Kia",17784,"Sorento LX","5XYPGDA33KG561171",29995.0,NULL,NULL
"Kia",77991,"Sorento LX","5XYPGDA54GG109576",18998.0,NULL,NULL
"Toyota",46442,"RAV4 LE","2T3F1RFV7MW175846",29598.0,NULL,NULL
"Ford",52520,"F-150 Lariat","1FTFW1ET8EKE83900",29995.0,NULL,NULL
"Chevrolet",36434,"Equinox 1LT","3GNAXUEV0KL116470",25900.0,NULL,NULL
"Volkswagen",52444,"Tiguan 2.0T SE","3VV2B7AX6JM167860",24875.0,NULL,NULL
"Ford",21984,"F-150 XLT","1FTFX1E54JFA24378",36041.0,NULL,NULL
"Tesla",14480,"Model Y Performance","5YJYGDEF6MF257741",74206.0,NULL,NULL
"Ford",56395,"Escape Titanium","1FMCU9J99EUB27117",19333.0,NULL,NULL
"Volkswagen",24584,"Tiguan 2.0T S","3VV0B7AX6KM177653",26975.0,NULL,NULL
"Honda",65076,"Accord LX","1HGCR2F31HA208475",17352.0,NULL,NULL
"Audi",51600,"Q3 2.0T Premium Plus","WA1EFCFS4GR015678",25988.0,NULL,NULL
"Jeep",55366,"Grand Cherokee Altitude","1C4RJFAG5LC118633",37704.0,NULL,NULL
"Lincoln",12688,"MKC Reserve","5LMCJ3D98KUL51702",38999.0,NULL,NULL
"Tesla",23856,"Model X Performance","5YJXCAE4XMF321932",114998.0,NULL,NULL
"Land",25363,"Rover Discovery SE","SALRG2RV3JA065412",44998.0,NULL,NULL
"GMC",57109,"Terrain Denali","3GKALXEX5KL106853",33896.0,NULL,NULL
"Audi",85939,"S5 3.0 Prestige quattro","WAUVGAFH1BN011368",19500.0,NULL,NULL
"Honda",39105,"CR-V EX-L","7FARW2H86KE020077",29998.0,NULL,NULL
"Mazda",50953,"CX-5 Grand Touring","JM3KE4DY2G0836752",24998.0,NULL,NULL
"Nissan",68623,"Rogue SV","5N1AT2MV1HC826665",16975.0,NULL,NULL
"Ford",81037,"F-150 XLT","1FTFW1E51KFA00639",35997.0,NULL,NULL
"Hyundai",17791,"Palisade Limited","KM8R5DHE9LU125748",53900.0,NULL,NULL
"BMW",8884,"Z4 sDrive30i","WBAHF3C09MWX25496",52980.0,NULL,NULL
"Mazda",11754,"CX-5 Grand Touring","JM3KFBDM5L1813937",32998.0,NULL,NULL
"Lincoln",99488,"MKX Base","2LMDJ6JKXDBL19864",15499.0,NULL,NULL
"Toyota",13853,"RAV4 LE","2T3G1RFV4KW057268",32174.0,NULL,NULL
"Lincoln",37426,"MKC Select","5LMTJ2DH7HUL68940",27650.0,NULL,NULL
"Toyota",96203,"Sienna XLE","5TDYK3DC8FS568702",23227.0,NULL,NULL
"GMC",38360,"Sierra 1500 Denali","1GTU9FEL9LZ223747",59990.0,NULL,NULL
"Hyundai",34050,"Palisade Limited","KM8R5DHE0LU028907",47994.0,NULL,NULL
"Nissan",99252,"Rogue SV","5N1AT2MV9HC830916",19277.0,NULL,NULL
"Chevrolet",12436,"Equinox 1LT","2GNAXKEV0K6264398",24699.0,NULL,NULL
"Subaru",16702,"Outback Onyx Edition XT","4S4BTGKD4L3225125",38989.0,NULL,NULL
"Jeep",14234,"Compass Limited","3C4NJDCB1LT236090",31988.0,NULL,NULL
"GMC",57164,"Sierra 1500 Denali","3GTU9FED6KG232977",49598.0,NULL,NULL
"Honda",30715,"Ridgeline RTL-E","5FPYK3F74KB032657",36782.0,NULL,NULL
"Honda",20735,"Accord Touring 2.0T","1HGCV2F99KA003963",36875.0,NULL,NULL
"BMW",57949,"328 i xDrive","WBA3B3C53DF540670",19300.0,NULL,NULL
"Hyundai",68808,"Santa Fe Sport 2.0L Turbo","5XYZWDLA4GG306933",21998.0,NULL,NULL
"Toyota",30647,"RAV4 XLE","JTMP1RFV7KD507847",33900.0,NULL,NULL
"Jeep",42861,"Renegade Sport","ZACNJBAB3KPK28597",22998.0,NULL,NULL
"Subaru",24337,"Forester Sport","JF2SKAJC5KH410428",34989.0,NULL,NULL
"Toyota",14877,"RAV4 XLE Premium","JTMA1RFV0KD515276",40982.0,NULL,NULL
"GMC",93960,"Acadia Limited Limited","1GKKVSKD1HJ201504",23995.0,NULL,NULL
"Mercedes-Benz",72700,"C-Class C 300 4MATIC","WDDWF4KB0HR232710",24830.0,NULL,NULL
"Chrysler",77817,"Pacifica Touring-L","2C4RC1BG9MR508719",35998.0,NULL,NULL
"Acura",15810,"RDX Technology Package","5J8TC2H56LL008527",44989.0,NULL,NULL
"Audi",52560,"Q7 55 Premium","WA1AAAF72KD002625",43752.0,NULL,NULL
"RAM",43675,"1500 Laramie","1C6SRFJT9LN148205",47995.0,NULL,NULL
"Chevrolet",62125,"Equinox 1LT","3GNAXKEV4KS515442",22399.0,NULL,NULL
"Jeep",19343,"Grand Cherokee L Limited","1C4RJKBG7M8101330",50383.0,NULL,NULL
"Chevrolet",60235,"Equinox 1LT","2GNFLFEK6F6123419",18995.0,NULL,NULL
"Toyota",12112,"Corolla LE","5YFEPMAE3MP270256",28479.0,NULL,NULL
"Ford",50359,"F-150 XLT","1FTEX1EP4HFA22444",31871.0,NULL,NULL
"Volkswagen",36999,"Atlas 3.6L SE w/Technology","1V2UR2CA9KC562647",39975.0,NULL,NULL
"Chevrolet",70900,"Equinox 1LT","2GNAXSEV0J6208427",19975.0,NULL,NULL
"Chevrolet",72185,"Silverado 1500 LTZ","1GCVKSEC1FZ166028",33999.0,NULL,NULL
"BMW",67558,"X5 xDrive35i","5UXKR0C5XH0U52425",33959.0,NULL,NULL
"Ford",97417,"Edge Titanium","2FMTK4K83FBC38333",19900.0,NULL,NULL
"Jeep",65403,"Grand Cherokee Altitude","1C4RJFAG7HC763100",28995.0,NULL,NULL
"Subaru",44392,"Forester Sport","JF2SKAPC1KH569518",30798.0,NULL,NULL
"Ford",45944,"F-150 XLT","1FTEW1E54JFC90420",38289.0,NULL,NULL
"GMC",79429,"Acadia Denali","1GKKVTKD6EJ355711",21499.0,NULL,NULL
"Acura",21717,"RDX A-Spec","5J8TC2H68KL000565",43495.0,NULL,NULL
"Chevrolet",82148,"Silverado 1500 LT","3GCUKREC9FG107104",27798.0,NULL,NULL
"Mercedes-Benz",10443,"GLB 250 Base 4MATIC","W1N4M4HBXMW106440",47633.0,NULL,NULL
"Subaru",3003,"Forester Limited","JF2SKAUC2KH589247",35989.0,NULL,NULL
"Jeep",96392,"Grand Cherokee Limited","1C4RJFBG3FC790094",21998.0,NULL,NULL
"BMW",31507,"X7 xDrive40i","5UXCW2C53KL088718",70200.0,NULL,NULL
"Ford",80819,"F-150 Lariat","1FTEW1EP4GFA54327",33995.0,NULL,NULL
"Chevrolet",90353,"Traverse LTZ","1GNKVJKD1FJ269764",20680.0,NULL,NULL
"Lexus",39618,"RX 350 Base","2T2HZMDAXLC221565",48999.0,NULL,NULL
"Mazda",41727,"CX-5 Touring","JM3KFBCM9L0764636",27599.0,NULL,NULL
"Honda",82039,"CR-V EX-L","2HKRM4H73EH610117",20995.0,NULL,NULL
"RAM",33808,"1500 Laramie","1C6SRFDTXLN220198",41998.0,NULL,NULL
"Ford",45370,"Expedition XLT","1FMJU1JT2KEA90583",51990.0,NULL,NULL
"GMC",76213,"Sierra 1500 Denali","3GTU2WEC0FG272862",36494.0,NULL,NULL
"Chevrolet",72009,"Cruze LT","1G1BE5SM6H7216759",16999.0,NULL,NULL
"Honda",13136,"CR-V Touring","5J6RW2H92KL018970",35386.0,NULL,NULL
"Toyota",48083,"Highlander XLE","5TDGZRBH9LS508786",42385.0,NULL,NULL
"Lincoln",24870,"Continental Reserve","1LN6L9NC9L5605162",59895.0,NULL,NULL
"Jeep",21053,"Grand Cherokee Limited","1C4RJFBG2KC841420",36992.0,NULL,NULL
"Chevrolet",37881,"Trax LT","3GNCJLSB1KL328082",19747.0,NULL,NULL
"Mazda",77027,"CX-9 Touring","JM3TCBCY9J0225575",27377.0,NULL,NULL
"Chevrolet",39092,"Equinox Premier w/2LZ","2GNAXYEX8L6236712",33996.0,NULL,NULL
"Volkswagen",76396,"Tiguan 2.0T SE","3VV2B7AX6JM122188",23475.0,NULL,NULL
"Honda",20177,"HR-V EX-L","3CZRU6H74KM713476",27995.0,NULL,NULL
"Honda",27338,"Ridgeline RTL-E","5FPYK3F70LB010902",38991.0,NULL,NULL
"Cadillac",33800,"XT5 Luxury","1GYKNDRS0JZ216086",31950.0,NULL,NULL
"Honda",24608,"Odyssey EX-L","5FNRL6H78KB119826",36995.0,NULL,NULL
"RAM",20078,"1500 Classic SLT","1C6RR7GG1MS507595",37900.0,NULL,NULL
"Jeep",93317,"Grand Cherokee Limited","1C4RJFBGXFC725582",22398.0,NULL,NULL
"Volkswagen",46000,"Tiguan 2.0T SE","3VV2B7AX0JM129878",28975.0,NULL,NULL
"Honda",37156,"CR-V EX","5J6RW2H56KL017382",30490.0,NULL,NULL
"Ford",45318,"Escape SE","1FMCU0GD7KUC03033",23799.0,NULL,NULL
"Mercedes-Benz",55333,"GLC 300 Base 4MATIC","WDC0G4KB5KV187933",35107.0,NULL,NULL
"Volkswagen",95325,"Touareg VR6","WVGEF9BP1GD004673",20785.0,NULL,NULL
"Ford",53469,"Edge SEL","2FMPK4J93LBA30105",28865.0,NULL,NULL
"Toyota",20600,"Camry SE","4T1B11HK8KU274121",28995.0,NULL,NULL
"Subaru",52131,"Outback Limited","4S4BTANC9L3117812",34922.0,NULL,NULL
"Buick",62295,"Enclave Essence","5GAEVAKW4KJ269471",35599.0,NULL,NULL
"BMW",5210,"X3 xDrive30i","5UXTY5C07M9F29687",45995.0,NULL,NULL
"Toyota",10898,"RAV4 Limited","2T3DFREV4HW661093",32998.0,NULL,NULL
"Acura",51216,"RDX A-Spec","5J8TC2H65KL013158",38495.0,NULL,NULL
"Volvo",52021,"XC60 T6 Dynamic","YV449MRR1H2222625",26998.0,NULL,NULL
"Land",43716,"Rover Range Rover 3.0L V6 Supercharged HSE","SALGS2SV0KA528804",82999.0,NULL,NULL
"BMW",32415,"X5 xDrive40i","5UXCR6C50KLL10954",54670.0,NULL,NULL
"Toyota",44082,"RAV4 XLE Premium","2T3A1RFV1KW063728",37385.0,NULL,NULL
"Ford",16333,"F-150 XLT","1FTEW1EP5KFB97831",43017.0,NULL,NULL
"BMW",49129,"535 i xDrive","WBA5B3C5XGG254676",25787.0,NULL,NULL
"Jeep",19159,"Cherokee Trailhawk","1C4PJMBX7KD350931",30880.0,NULL,NULL
"Ford",37693,"Edge SEL","2FMPK4J91KBC48462",30499.0,NULL,NULL
"Ford",14414,"F-150 Platinum","1FTFW1E86MFA52104",70998.0,NULL,NULL
"Honda",26834,"CR-V EX","5J6RW2H54KL037405",29998.0,NULL,NULL
