"vin","year","make","model","used_or_new","price","sellertype","sellername","zipcode","dealtype","drivetrain","transmission","engine","mileage","difference","percentage_of_difference"
"1HGCV2F91KA022992",2019,"Honda","Accord Touring 2.0T","Honda Certified",35333.00,"Dealer","Buerkle Hyundai",55110,"Good","Front-wheel Drive","10-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",22281,NULL,NULL
"5NPE34AF1KH779163",2019,"Hyundai","Sonata SEL","Used",22998.00,"Dealer","Walser Hyundai",55445,"Great","Front-wheel Drive","Automatic","Regular Unleaded I-4 2.4 L/144",21805,NULL,NULL
"5J8TC2H56LL037848",2020,"Acura","RDX Technology Package","Used",42875.00,"Dealer","Luther Westside VW",55416,"Good","All-wheel Drive","10-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",35969,NULL,NULL
"2HKRW2H83LH681211",2020,"Honda","CR-V EX-L","Used",35299.00,"Dealer","Walser Nissan Wayzata",55391,"Good","All-wheel Drive","Variable","Intercooled Turbo Regular Unleaded I-4 1.5 L/91",25148,NULL,NULL
"WA1BNAFYXK2132553",2019,"Audi","Q5 2.0T Premium Plus","Used",43226.00,"Dealer","Audi Richfield",55423,"Good","All-wheel Drive","7-Speed Automatic with Auto-Shift","2.0L I4 16V GDI DOHC Turbo",21977,NULL,NULL
"2T3BFREV8EW180184",2014,"Toyota","RAV4 LE","Used",19650.00,"Dealer","Burnsville Toyota",55306,"Good","All-wheel Drive","6-Speed Automatic","2.5L I4 16V MPFI DOHC",90015,NULL,NULL
"3GTU2WEJ7FG179304",2015,"GMC","Sierra 1500 Denali","Used",33657.00,"Dealer","Mike Molstead Motors",50616,"Good","Four-wheel Drive","6-Speed Automatic","6.2L V8 16V GDI OHV",95048,NULL,NULL
"JM3TB3CV7F0464533",2015,"Mazda","CX-9 Touring","Used",20495.00,"Dealer","Morrie's Inver Grove Mazda",55118,"Good","All-wheel Drive","6-Speed Automatic","3.7L V6 24V MPFI DOHC",73774,NULL,NULL
"1FMCU9J9XKUA19908",2019,"Ford","Escape Titanium","Used",32999.00,"Dealer","Hayford Ford",55040,"Good","Four-wheel Drive","6-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",22910,NULL,NULL
"2T3MWRFV2KW027190",2019,"Toyota","RAV4 Hybrid LE","Toyota Certified",35995.00,"Dealer","Luther Brookdale Toyota",55429,"Good","All-wheel Drive","Automatic CVT","2.5L I4 16V PDI DOHC Hybrid",40687,NULL,NULL
"JN8AT2MV3HW013092",2017,"Nissan","Rogue S","Used",16985.00,"Dealer","RAVMOTORS",55337,"Great","All-wheel Drive","Automatic CVT","2.5L I4 16V MPFI DOHC",47061,NULL,NULL
"1FTEW1EP0JKC70903",2018,"Ford","F-150 XL","Used",35502.00,"Dealer","Mills GM",56425,"Great","Four-wheel Drive","10-Speed Automatic","2.7L V6 24V PDI DOHC Twin Turbo",49997,NULL,NULL
"5TDBBRCH5MS034754",2021,"Toyota","Highlander Hybrid LE","Used",45990.00,"Dealer","Austin Chrysler Dodge Jeep RAM",55912,"NA","All-wheel Drive","Automatic CVT","2.5L I4 16V PDI DOHC Hybrid",19695,NULL,NULL
"1C4RJFAG8HC853100",2017,"Jeep","Grand Cherokee Altitude","Used",27998.00,"Dealer","Walser Chrysler Jeep Dodge RAM",55343,"Good","Four-wheel Drive","Automatic","Regular Unleaded V-6 3.6 L/220",86925,NULL,NULL
"1C4RJFBG1KC639846",2019,"Jeep","Grand Cherokee Limited","Used",34987.00,"Dealer","Northfield Automotive Inc.",55057,"Great","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",30947,NULL,NULL
"1C4RJFBG1KC737050",2019,"Jeep","Grand Cherokee Limited","Used",37630.00,"Dealer","Audi Minneapolis",55426,"Good","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",15121,NULL,NULL
"1HGCV1F19NA013742",2022,"Honda","Accord LX 1.5T","Used",35000.00,"Dealer","Hosmercars.com",50401,"Good","Front-wheel Drive","Automatic CVT","1.5L I4 16V GDI DOHC Turbo",4425,NULL,NULL
"4T1BF1FK4HU617052",2017,"Toyota","Camry LE","Used",20871.00,"Dealer","Apple Ford Shakopee",55379,"Good","Front-wheel Drive","6-Speed Automatic","2.5L I4 16V MPFI DOHC",52729,NULL,NULL
"7FARW2H89KE059021",2019,"Honda","CR-V EX-L","Used",31499.00,"Dealer","BERNARD'S Chrysler Dodge Jeep RAM",54017,"Good","All-wheel Drive","Automatic CVT","1.5L I4 16V GDI DOHC Turbo",24405,NULL,NULL
"5LMCJ2D92HUL14048",2017,"Lincoln","MKC Select","Used",26998.00,"Dealer","Walser Mazda",55306,"Good","All-wheel Drive","Automatic","Intercooled Turbo Premium Unleaded I-4 2.0 L/122",46962,NULL,NULL
"3FA6P0LU0KR158495",2019,"Ford","Fusion Hybrid SE","Used",24977.00,"Dealer","Morrie's Minnetonka Subaru",55305,"Good","Front-wheel Drive","eCVT","4 Cylinder Engine",35870,NULL,NULL
"1GKS2BKC0LR188996",2020,"GMC","Yukon SLT","Used",46599.00,"Dealer","Walser Buick GMC Roseville",55113,"Great","Four-wheel Drive","Automatic","Gas V8 5.3L/325",64162,NULL,NULL
"JM3TCBDY4H0127613",2017,"Mazda","CX-9 Grand Touring","Used",26499.00,"Dealer","Cornerstone Plymouth",55441,"Great","All-wheel Drive","6-Speed Automatic","2.5L 24V",70125,NULL,NULL
"3CZRU6H30GM704990",2016,"Honda","HR-V LX","Honda Certified",21998.00,"Dealer","Tom Kadlec Honda",55901,"Fair","All-wheel Drive","Automatic CVT","1.8L I4 16V MPFI SOHC",37406,NULL,NULL
"2GNAXUEVXK6224227",2019,"Chevrolet","Equinox 1LT","Chevrolet Certified",26770.00,"Dealer","Gross Motors",54456,"Good","All-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",30488,NULL,NULL
"3FA6P0T91LR190594",2020,"Ford","Fusion SE","Used",23947.00,"Dealer","Hertz Car Sales Minneapolis",55337,"Good","All-wheel Drive","6-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",54522,NULL,NULL
"WAUF2AFC6HN008174",2017,"Audi","A6 3.0T Premium Plus","Used",29997.00,"Dealer","Audi St. Paul",55109,"Good","All-wheel Drive","8-Speed Automatic","3.0L V6 24V GDI DOHC Supercharged",64070,NULL,NULL
"2C3CDZBT3HH624660",2017,"Dodge","Challenger R/T","Used",31599.00,"Dealer","Walser Toyota",55437,"Great","Rear-wheel Drive","Automatic","Regular Unleaded V-8 5.7 L/345",46759,NULL,NULL
"1FM5K8FH5HGA60303",2017,"Ford","Explorer Limited","Used",27125.00,"Dealer","Tom Kadlec Honda",55901,"Good","Four-wheel Drive","6-Speed Automatic","2.3L I4 16V GDI DOHC Turbo",94646,NULL,NULL
"4T1B11HK1KU266765",2019,"Toyota","Camry LE","Used",19999.00,"Dealer","Hertz Car Sales Minneapolis",55337,"Good","Front-wheel Drive","8-Speed Automatic","2.5L I4 16V PDI DOHC",89999,NULL,NULL
"5LMTJ3DH4KUL38663",2019,"Lincoln","MKC Reserve","Used",32990.00,"Dealer","Yarmon Ford",56362,"Good","All-wheel Drive","6-Speed Automatic","2.3L I4 16V GDI DOHC Turbo",40852,NULL,NULL
"JTEBU5JR6K5651142",2019,"Toyota","4Runner Limited","Used",47899.00,"Dealer","Walser Toyota",55437,"Good","Four-wheel Drive","Automatic","Regular Unleaded V-6 4.0 L/241",27830,NULL,NULL
"KM8K6CAB7NU860532",2022,"Hyundai","Kona SEL","Used",28100.00,"Dealer","Buerkle Hyundai",55110,"Good","All-wheel Drive","Automatic CVT","2.0L I4 16V MPFI DOHC",5065,NULL,NULL
"2T3RFREV8JW703907",2018,"Toyota","RAV4 XLE","Toyota Certified",30995.00,"Dealer","Inver Grove Toyota",55077,"Good","All-wheel Drive","6-Speed Automatic","2.5L I4 16V MPFI DOHC",35290,NULL,NULL
"2FMPK4K94HBB88233",2017,"Ford","Edge Titanium","Used",28995.00,"Dealer","White Bear Lincoln",55110,"Fair","All-wheel Drive","6-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",58024,NULL,NULL
"55SWF4KB0FU027710",2015,"Mercedes-Benz","C-Class C 300","Used",22499.00,"Dealer","Apple Ford Lincoln Apple Valley",55124,"Fair","All-wheel Drive","7-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",98372,NULL,NULL
"KM8J3CAL3LU209585",2020,"Hyundai","Tucson Ultimate","Used",32998.00,"Dealer","Walser Hyundai",55445,"Good","All-wheel Drive","Automatic","Regular Unleaded I-4 2.4 L/144",24751,NULL,NULL
"2GNFLFEKXG6263734",2016,"Chevrolet","Equinox LT","Used",16490.00,"Dealer","Marthaler Chevrolet of Glenwood",56334,"Good","All-wheel Drive","6-Speed Automatic","2.4L I4 16V GDI DOHC",98323,NULL,NULL
"5NPE24AF1KH781739",2019,"Hyundai","Sonata SE","Used",23495.00,"Dealer","Buerkle Hyundai",55110,"Good","Front-wheel Drive","6-Speed Automatic","2.4L I4 16V GDI DOHC",13785,NULL,NULL
"1FTEW1EP2KFD53727",2019,"Ford","F-150 XL","Ford Certified",37999.00,"Dealer","Apple Ford Lincoln Apple Valley",55124,"Great","Four-wheel Drive","10-Speed Automatic","2.7L V6 24V PDI DOHC Twin Turbo",30570,NULL,NULL
"4T1C11AK1LU343828",2020,"Toyota","Camry LE","Toyota Certified",27795.00,"Dealer","Rudy Luther Toyota",55426,"Good","Front-wheel Drive","8-Speed Automatic","2.5L I4 16V PDI DOHC",49625,NULL,NULL
"JM3KFBCM1M0423815",2021,"Mazda","CX-5 Touring","Used",31998.00,"Dealer","Walser Mazda",55306,"Great","All-wheel Drive","Automatic","Regular Unleaded I-4 2.5 L/152",10545,NULL,NULL
"1C6SRFJT0MN751772",2021,"RAM","1500 Laramie","Used",49864.00,"Dealer","Asa Auto Plaza",56143,"Good","Four-wheel Drive","8-Speed Automatic","5.7L V8 16V MPFI OHV",49467,NULL,NULL
"1GTP6DE13G1243862",2016,"GMC","Canyon SLT","Used",35259.00,"Dealer","Lupient Buick GMC",55426,"Fair","Four-wheel Drive","6-Speed Automatic","2.8L I4 16V DDI DOHC Turbo Diesel",38932,NULL,NULL
"JHLRW2H83KX013172",2019,"Honda","CR-V EX-L","Used",29599.00,"Dealer","Walser Toyota",55437,"Good","All-wheel Drive","Variable","Intercooled Turbo Regular Unleaded I-4 1.5 L/91",50001,NULL,NULL
"5UXTR9C56KLD96307",2019,"BMW","X3 xDrive30i","Used",39998.00,"Dealer","Walser Toyota",55437,"Good","All-wheel Drive","Automatic","Intercooled Turbo Premium Unleaded I-4 2.0 L/122",29954,NULL,NULL
"1C6SRFJT8LN327514",2020,"RAM","1500 Laramie","Used",47995.00,"Dealer","Buerkle Hyundai",55110,"Great","Four-wheel Drive","8-Speed Automatic","5.7L V8 16V MPFI OHV",15778,NULL,NULL
"3GNAXUEVXLL143709",2020,"Chevrolet","Equinox 1LT","Used",26980.00,"Dealer","Link Ford Lincoln and RV",54868,"Good","All-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",46962,NULL,NULL
"2FMPK4AP9LBA84569",2020,"Ford","Edge ST","Ford Certified",42499.00,"Dealer","Rochester Ford",55901,"Good","All-wheel Drive","8-Speed Automatic","2.7L V6 24V GDI DOHC Twin Turbo",24794,NULL,NULL
"1GKKVSKD5HJ149455",2017,"GMC","Acadia Limited Limited","Used",27998.00,"Dealer","Walser Buick GMC Bloomington",55437,"Fair","All-wheel Drive","Automatic","Gas V6 3.6L/217",78193,NULL,NULL
"3GKALXEXXKL130999",2019,"GMC","Terrain Denali","Used",34299.00,"Dealer","Walser Polar Chevrolet",55110,"Good","All-wheel Drive","Automatic","Turbocharged Gas/E15 I4 2.0L/122",19591,NULL,NULL
"3GNCJPSB2KL157799",2019,"Chevrolet","Trax LT","Used",20998.00,"Dealer","Walser Toyota",55437,"Great","All-wheel Drive","Automatic","Turbocharged Gas 4-Cyl 1.4L/83",25969,NULL,NULL
"3C6JR7ATXHG641067",2017,"RAM","1500 Express","Used",28993.00,"Dealer","Mauer Main Chevrolet",55303,"Good","Four-wheel Drive","8-Speed Automatic","5.7L V8 16V MPFI OHV",39946,NULL,NULL
"2FMPK4K92FBB07162",2015,"Ford","Edge Titanium","Ford Certified",22999.00,"Dealer","Apple Ford Lincoln Apple Valley",55124,"Good","All-wheel Drive","6-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",73153,NULL,NULL
"5XYPHDA58GG016539",2016,"Kia","Sorento EX","Used",19599.00,"Dealer","Walser Polar Chevrolet",55110,"Good","All-wheel Drive","Automatic","Regular Unleaded V-6 3.3 L/204",96032,NULL,NULL
"4S3BWAF66M3011517",2021,"Subaru","Legacy Premium","Subaru Certified",28500.00,"Dealer","Morrie's Brooklyn Park Subaru",55445,"Great","All-wheel Drive","Automatic CVT","2.5L H4 16V GDI DOHC",13818,NULL,NULL
"1G1ZD5ST2JF199284",2018,"Chevrolet","Malibu LT","Used",19699.00,"Dealer","Bedrock Motors",55374,"Good","Front-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",79149,NULL,NULL
"3GKALXEXXLL172669",2020,"GMC","Terrain Denali","Used",37683.00,"Dealer","Lupient Buick GMC",55426,"Good","All-wheel Drive","9-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",23829,NULL,NULL
"5N1AT2MV7JC754473",2018,"Nissan","Rogue SV","Used",26199.00,"Dealer","Walser Nissan Coon Rapids",55448,"Good","All-wheel Drive","Variable","Regular Unleaded I-4 2.5 L/152",46416,NULL,NULL
"5LM5J7XC6LGL13991",2020,"Lincoln","Aviator Reserve AWD","Used",62474.00,"Dealer","Buerkle Hyundai",55110,"Good","All-wheel Drive","10-Speed Automatic","3.0L V6 24V GDI DOHC Twin Turbo",27119,NULL,NULL
"4S4WMAMD8K3458934",2019,"Subaru","Ascent Limited 7-Passenger","Used",27995.00,"Dealer","Subaru of Rochester",55904,"Great","All-wheel Drive","Automatic CVT","2.4L H4 16V GDI DOHC Turbo",87219,NULL,NULL
"19UUB1F32KA009672",2019,"Acura","TLX FWD","Used",31995.00,"Dealer","Alfa Romeo of Minneapolis",55416,"Fair","Front-wheel Drive","8-Speed Automatic with Auto-Shift","2.4L I4 16V GDI DOHC",28900,NULL,NULL
"3MW5R7J05L8B31693",2020,"BMW","330 i xDrive","Used",41800.00,"Dealer","Motorwerks BMW",55420,"Good","All-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",20029,NULL,NULL
"JTMG1RFV6KD032868",2019,"Toyota","RAV4 LE","Toyota Certified",32995.00,"Dealer","Luther Brookdale Toyota",55429,"Good","All-wheel Drive","8-Speed Automatic","2.5L I4 16V PDI DOHC",19724,NULL,NULL
"7FARW2H5XKE012764",2019,"Honda","CR-V EX","Honda Certified",29990.00,"Dealer","Inver Grove Honda",55077,"Good","All-wheel Drive","Automatic CVT","1.5L I4 16V GDI DOHC Turbo",41280,NULL,NULL
"SHHFK7H67JU218251",2018,"Honda","Civic EX","Used",27000.00,"Dealer","Luther Bloomington Hyundai",55437,"Fair","Front-wheel Drive","Automatic CVT","1.5L I4 16V GDI DOHC Turbo",32125,NULL,NULL
"3GNCJNSB2JL299668",2018,"Chevrolet","Trax LS","Used",22000.00,"Dealer","Hosmercars.com",50401,"Good","All-wheel Drive","6-Speed Automatic","1.4L I4 16V MPFI DOHC Turbo",36629,NULL,NULL
"1HGCT1B80GA007453",2016,"Honda","Accord EX-L","Used",23995.00,"Dealer","Luther Brookdale Honda",55429,"Good","Front-wheel Drive","Automatic CVT","2.4L I4 16V GDI DOHC",31659,NULL,NULL
"5NPE24AF8KH736071",2019,"Hyundai","Sonata SE","Used",23616.00,"Dealer","Buerkle Hyundai",55110,"Good","Front-wheel Drive","6-Speed Automatic","2.4L I4 16V GDI DOHC",17929,NULL,NULL
"7FARW2H87KE017348",2019,"Honda","CR-V EX-L","Honda Certified",32995.00,"Dealer","Luther Hopkins Honda ",55343,"Good","All-wheel Drive","Automatic CVT","1.5L I4 16V GDI DOHC Turbo",18005,NULL,NULL
"5XYP5DHC0NG285130",2022,"Kia","Telluride SX","Used",59998.00,"Dealer","Jaguar Land Rover Richfield",55423,"Good","All-wheel Drive","8-Speed Automatic","3.8L V6 24V GDI DOHC",506,NULL,NULL
"3GNKBGRS9KS574020",2019,"Chevrolet","Blazer 2LT","Used",35000.00,"Dealer","Don Johnson's Cumberland Motors Ford Chrysler Dodge Jeep RAM",54829,"Good","All-wheel Drive","9-Speed Automatic","3.6L V6 24V GDI DOHC",42630,NULL,NULL
"3GCPYBEH2KG186589",2019,"Chevrolet","Silverado 1500 Custom","Chevrolet Certified",33995.00,"Dealer","Luther Brookdale Chevrolet",55429,"Great","Four-wheel Drive","6-Speed Automatic","4.3L V6 12V GDI OHV",62671,NULL,NULL
"1GKS2DKL7MR109949",2021,"GMC","Yukon Denali","Used",81950.00,"Dealer","Mike Molstead Motors",50616,"Fair","Four-wheel Drive","10-Speed Automatic","6.2L V8 16V GDI OHV",23875,NULL,NULL
"1C6RR7LG9GS288184",2016,"RAM","1500 Big Horn","Used",27000.00,"Dealer","John Hirsch's Cambridge Motors",55008,"Good","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC Flexible Fuel",61369,NULL,NULL
"2HKRW2H81LH686424",2020,"Honda","CR-V EX-L","Used",34000.00,"Dealer","Luther St. Cloud Honda",56387,"Good","All-wheel Drive","Automatic CVT","1.5L I4 16V GDI DOHC Turbo",30308,NULL,NULL
"5J6RW6H33KL001470",2019,"Honda","CR-V LX","Honda Certified",26595.00,"Dealer","Luther Hopkins Honda ",55343,"Good","All-wheel Drive","Automatic CVT","2.4L I4 16V GDI DOHC",39135,NULL,NULL
"5YJXCDE22LF233696",2020,"Tesla","Model X Long Range","Used",99995.00,"Dealer","The Car Buying Center",55426,"Good","All-wheel Drive","1-Speed Automatic","Electric",26475,NULL,NULL
"4T1B11HK0KU193470",2019,"Toyota","Camry SE","Toyota Certified",28785.00,"Dealer","Carlson Toyota",55448,"Good","Front-wheel Drive","8-Speed Automatic","2.5L I4 16V PDI DOHC",27050,NULL,NULL
"W04WT3N52GG108543",2016,"Buick","Cascada Premium","Used",20950.00,"Dealer","Northland Auto Center Inc",56353,"Good","Front-wheel Drive","6-Speed Automatic","1.6L I4 16V GDI DOHC Turbo",57275,NULL,NULL
"1GYKNBRS0HZ232142",2017,"Cadillac","XT5 Luxury","Used",24400.00,"Dealer","American Motors, Inc",55024,"Great","Front-wheel Drive","8-Speed Automatic","3.6L V6 24V GDI DOHC",59790,NULL,NULL
"1GKS2DKL4MR317190",2021,"GMC","Yukon Denali","Used",83970.00,"Dealer","Mike Molstead Motors",50616,"Fair","Four-wheel Drive","10-Speed Automatic","6.2L V8 16V GDI OHV",23131,NULL,NULL
"1GNKVJKD1GJ250956",2016,"Chevrolet","Traverse LTZ","Used",23486.00,"Dealer","Jeff Belzer's Lakeville",55044,"Good","All-wheel Drive","6-Speed Automatic","3.6L V6 24V GDI DOHC",83353,NULL,NULL
"1FMCU9J98EUA05459",2014,"Ford","Escape Titanium","Used",18497.00,"Dealer","Volkswagen of Inver Grove",55077,"Good","Four-wheel Drive","6-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",67593,NULL,NULL
"3GNAXJEVXJS645962",2018,"Chevrolet","Equinox 1LT","Used",19990.00,"Dealer","Marthaler Chevrolet of Glenwood",56334,"Good","Front-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",65641,NULL,NULL
"1HGCV1F31LA154934",2020,"Honda","Accord Sport 1.5T","Used",31999.00,"Dealer","Buerkle Hyundai",55110,"Good","Front-wheel Drive","Automatic CVT","1.5L I4 16V GDI DOHC Turbo",13284,NULL,NULL
"4S4BTGHD1L3185142",2020,"Subaru","Outback Onyx Edition XT","Used",34444.00,"Dealer","St. Cloud Subaru",56301,"Good","All-wheel Drive","Automatic CVT","2.4L H4 16V GDI DOHC Turbo",38399,NULL,NULL
"4T1B11HK7KU719013",2019,"Toyota","Camry LE","Used",25998.00,"Dealer","Lake Country Toyota",56425,"Good","Front-wheel Drive","8-Speed Automatic","2.5L I4 16V PDI DOHC",56100,NULL,NULL
"JTJHY7AX1K4283887",2019,"Lexus","LX 570 570","Used",82999.00,"Dealer","Lexus of Wayzata",55391,"Good","Four-wheel Drive","8-Speed Automatic","5.7L V8 32V MPFI DOHC",33320,NULL,NULL
"3GKALXEX9LL283956",2020,"GMC","Terrain Denali","GMC Certified",35976.00,"Dealer","Luther Hudson Chevrolet GMC",54016,"Good","All-wheel Drive","9-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",47365,NULL,NULL
"3GNAXKEV9KS517297",2019,"Chevrolet","Equinox 1LT","Chevrolet Certified",22990.00,"Dealer","Alexandria Motors",56308,"Great","Front-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",54038,NULL,NULL
"2T2BZMCA4HC065909",2017,"Lexus","RX 350 F Sport","Used",39499.00,"Dealer","Northtown Auto Sales",55432,"Good","All-wheel Drive","Automatic 8-Speed","3.5L V6",57900,NULL,NULL
"2T3P1RFV4KW079206",2019,"Toyota","RAV4 XLE","Toyota Certified",32973.00,"Dealer","Inver Grove Toyota",55077,"Great","All-wheel Drive","8-Speed Automatic","2.5L I4 16V PDI DOHC",14008,NULL,NULL
"2GNFLFEKXG6228918",2016,"Chevrolet","Equinox 1LT","Used",20998.00,"Dealer","Walser Toyota",55437,"Good","All-wheel Drive","Automatic","Gas I4 2.4/145",43344,NULL,NULL
"SHHFK7H64LU225077",2020,"Honda","Civic EX","Honda Certified",29998.00,"Dealer","Luther Mankato Honda",56001,"Good","Front-wheel Drive","Automatic CVT","1.5L I4 16V GDI DOHC Turbo",5626,NULL,NULL
"1FADP3K24GL297480",2016,"Ford","Focus SE","Used",16399.00,"Dealer","Rochester Ford",55901,"Fair","Front-wheel Drive","6-Speed PowerShift Automatic","2.0L I4 16V GDI DOHC Flexible Fuel",42144,NULL,NULL
"1GKKNXLS2KZ130784",2019,"GMC","Acadia Denali","Used",40480.00,"Dealer","AutoNation Ford White Bear Lake",55110,"Good","All-wheel Drive","6-Speed Automatic","3.6L V6 24V GDI DOHC",24238,NULL,NULL
"5XYP5DHC6NG278439",2022,"Kia","Telluride SX","Used",59998.00,"Dealer","Jaguar Land Rover Richfield",55423,"NA","All-wheel Drive","8-Speed Automatic","3.8L V6 24V GDI DOHC",120,NULL,NULL
"2T2BZMCA2KC176207",2019,"Lexus","RX 350 Base","Used",44998.00,"Dealer","Walser Toyota",55437,"Good","All-wheel Drive","Automatic","Regular Unleaded V-6 3.5 L/211",37317,NULL,NULL
"1FTFW1E57JKD07478",2018,"Ford","F-150 Lariat","Ford Certified",43987.00,"Dealer","Apple Ford Shakopee",55379,"Great","Four-wheel Drive","10-Speed Automatic","5.0L V8 32V PDI DOHC",36815,NULL,NULL
"1FMCU9GD9KUB61050",2019,"Ford","Escape SE","Used",23495.00,"Dealer","AutoNation Ford White Bear Lake",55110,"Good","Four-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",62502,NULL,NULL
"5N1AT2MV3JC786675",2018,"Nissan","Rogue SV","Used",24998.00,"Dealer","Walser Nissan Coon Rapids",55448,"Good","All-wheel Drive","Variable","Regular Unleaded I-4 2.5 L/152",45595,NULL,NULL
"1FTEW1EPXLKE00219",2020,"Ford","F-150 XLT","Ford Certified",43499.00,"Dealer","Rochester Ford",55901,"Great","Four-wheel Drive","10-Speed Automatic","2.7L V6 24V PDI DOHC Twin Turbo",36999,NULL,NULL
"3GNAXYEX1LS620848",2020,"Chevrolet","Equinox Premier w/2LZ","Chevrolet Certified",34796.00,"Dealer","Luther Hudson Chevrolet GMC",54016,"Fair","All-wheel Drive","9-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",40176,NULL,NULL
"5XYPGDA39GG133791",2016,"Kia","Sorento LX","Used",21988.00,"Dealer","Barnett Chrysler Jeep Kia",55110,"Good","All-wheel Drive","6-Speed Automatic","2.4L I4 16V GDI DOHC",31780,NULL,NULL
"4T1B11HKXKU785880",2019,"Toyota","Camry LE","Toyota Certified",26985.00,"Dealer","Rudy Luther Toyota",55426,"Good","Front-wheel Drive","8-Speed Automatic","2.5L I4 16V PDI DOHC",42340,NULL,NULL
"1GKS2DKLXMR227560",2021,"GMC","Yukon Denali","Used",87998.00,"Dealer","Walser Buick GMC Bloomington",55437,"Fair","Four-wheel Drive","Automatic","Gas V8 6.2L/",24563,NULL,NULL
"1FTEW1EP3KKE80199",2019,"Ford","F-150 XLT","Used",38475.00,"Dealer","Luther Burnsville Volkswagen",55306,"Great","Four-wheel Drive","Automatic","2.7L V6 24V PDI DOHC Twin Turbo",51585,NULL,NULL
"KM8K6CAB2NU902279",2022,"Hyundai","Kona SEL","Used",28495.00,"Dealer","Buerkle Hyundai",55110,"Good","All-wheel Drive","Automatic CVT","2.0L I4 16V MPFI DOHC",2429,NULL,NULL
"5UXKR0C30H0V82910",2017,"BMW","X5 xDrive35i","Used",38480.00,"Dealer","BMW of Minnetonka",55391,"Good","All-wheel Drive","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo",44624,NULL,NULL
"1C4RJFCG4KC688702",2019,"Jeep","Grand Cherokee Altitude","Used",41646.00,"Dealer","Buerkle Hyundai",55110,"Good","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",44905,NULL,NULL
"WDC0G6EBXKF659075",2019,"Mercedes-Benz","GLC 300 Base 4MATIC","Used",43997.00,"Dealer","North Imports",55337,"Good","All-wheel Drive","Automatic 9-Speed","V6 Cylinder Engine",24182,NULL,NULL
"3MVDMBBL4MM217898",2021,"Mazda","CX-30 Select","Used",26599.00,"Dealer","Walser Mazda",55306,"Good","All-wheel Drive","Automatic","Regular Unleaded I-4 2.5 L/152",31986,NULL,NULL
"KNDPMCACXK7605814",2019,"Kia","Sportage LX","Kia Certified",25998.00,"Dealer","Luther Kia of Bloomington",55431,"Good","All-wheel Drive","6-Speed Automatic","2.4L I4 16V GDI DOHC",24831,NULL,NULL
"JTMDFREV6HJ167123",2017,"Toyota","RAV4 Limited","Used",28995.00,"Dealer","Luther Subaru of White Bear",55110,"Great","All-wheel Drive","6-Speed Automatic","2.5L I4 16V MPFI DOHC",46254,NULL,NULL
"1C4RJFBG3JC138276",2018,"Jeep","Grand Cherokee Limited","Used",30233.00,"Dealer","Park Chrysler Jeep",55337,"Good","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",84813,NULL,NULL
"4JGDA5HB4JB091678",2018,"Mercedes-Benz","GLE 350 Base 4MATIC","Used",35995.00,"Dealer","Morrie's Mercedes Benz of St. Paul",55109,"Good","All-wheel Drive","7-Speed Automatic","3.5L V6 24V GDI DOHC",79299,NULL,NULL
"4S4BSANC7H3299519",2017,"Subaru","Outback 2.5i Limited","Used",24397.00,"Dealer","Kruse Motors",56258,"Good","All-wheel Drive","Automatic CVT","2.5L H4 16V MPFI DOHC",88511,NULL,NULL
"4S4BTGKD7L3151974",2020,"Subaru","Outback Onyx Edition XT","Used",38998.00,"Dealer","Walser Subaru St. Paul",55075,"Good","All-wheel Drive","Automatic CVT","2.4L H4 16V GDI DOHC Turbo",7387,NULL,NULL
"2FMPK4G97JBC58628",2018,"Ford","Edge SE","Ford Certified",23999.00,"Dealer","Apple Ford Lincoln Apple Valley",55124,"Great","All-wheel Drive","6-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",48472,NULL,NULL
