Year,Make,Model,Used_or_New,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock,Mileage
2019,BMW,X3 xDrive30i,Used,37698,4.7,100,Dealer,Richfield Bloomington Honda,4.7,1562,501 W 77th St Minneapolis,MN,55423,Great,4.7,4.7,4.8,4.3,4.8,4.6,All-wheel Drive,22,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTR9C50KLE11030,221294A,48094
2019,Audi,SQ5 3.0T Premium,Used,55997,4.8,7,Dealer,Audi Richfield,4.1,8,1401 E 77th St Richfield,MN,55423,Good,4.6,4.9,4.9,4.9,4.6,4.9,All-wheel Drive,19,24,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WA1B4AFY4K2001881,K2001881,20371
2020,Kia,Sportage LX,Used,24998,4.8,175,Dealer,Luther Kia of Bloomington,4.8,1623,1701 American Blvd W Minneapolis,MN,55431,Great,4.8,4.8,4.7,4.8,4.8,4.9,All-wheel Drive,22,26,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,KNDPMCAC0L7651167,W9323,17094
2019,Audi,Q5 2.0T Premium Plus,Used,41786,4.7,42,Dealer,Audi Richfield,4.1,8,1401 E 77th St Richfield,MN,55423,Good,4.8,4.6,4.7,4.5,4.7,4.7,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1BNAFY6K2052246,K2052246A,22047
2019,Jeep,Grand Cherokee Limited,Used,35717,4.8,225,Dealer,Lupient Chevrolet,4.6,410,1601 Southtown Dr. Bloomington,MN,55431,Great,4.9,4.9,4.8,4.6,4.9,4.8,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG4KC791944,LHP7987,38780
2015,Honda,Pilot EX-L,Used,27998,4.8,112,Dealer,Walser Toyota,4.6,1181,4401 American Blvd W Minneapolis,MN,55437,Good,4.8,4.7,4.7,4.8,4.6,4.9,Four-wheel Drive,17,24,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF4H77FB069093,14BX393P,32655
2019,Volvo,XC90 T6 Inscription,Used,51998,4.7,69,Dealer,Walser Buick GMC Bloomington,4.6,403,4601 American Blvd West Bloomington,MN,55437,Good,4.9,4.7,4.8,4.6,4.8,4.6,All-wheel Drive,19,26,Gasoline,Automatic,Turbo/Supercharger Premium Unleaded I-4 2.0 L/120,YV4A22PL2K1466582,14BW954P,22200
2015,BMW,528 i xDrive,Used,21900,4.7,31,Dealer,Drive Appeal- Eden Prairie(Indoor Showroom),4.5,45,7206 Washington Ave S Eden Prairie,MN,55344,Fair,4.9,4.8,4.8,4.5,4.9,4.5,All-wheel Drive,22,33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA5A7C55FD628881,ED628881,65126
2015,BMW,528 i xDrive,Used,21990,4.7,31,Dealer,Drive Appeal- Eden Prairie(Indoor Showroom),4.5,45,7206 Washington Ave S Eden Prairie,MN,55344,Fair,4.9,4.8,4.8,4.5,4.9,4.5,All-wheel Drive,22,33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA5A7C53FD625901,ED625901,68961
2020,Jeep,Cherokee Trailhawk,Used,30998,4.8,153,Dealer,Walser Chrysler Jeep Dodge RAM,4.6,649,314 Main St. Hopkins,MN,55343,Great,4.8,4.8,4.8,4.8,4.8,4.8,Four-wheel Drive,18,24,Gasoline,Automatic,Regular Unleaded V-6 3.2 L/198,1C4PJMBX8LD640029,14BY178P,13793
