Year,Make,Model,used_or_new,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock,Mileage
2017,MINI,Clubman Cooper S ALL4,Used,"$24,999 ",4.9,20,Dealer,Your MTH,4.7,288,1805 Highway 23 East St Cloud,MN,56304,Good,4.8,4.8,4.8,4.7,4.9,4.9,All-wheel Drive,21,30,Gasoline,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WMWLU5C54H2C46071,FA02011,39757
2018,Ford,F-150 XLT,Used,"$36,999 ",4.8,817,Dealer,Tenvoorde Ford,4.6,2019,185 Roosevelt Rd St Cloud,MN,56301,Good,4.9,4.8,4.8,4.6,4.8,4.7,Four-wheel Drive,18,23,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FTFW1E59JFC17502,224342A,49118
2015,Subaru,Legacy 2.5i Limited,Used,"$19,000 ",4.6,108,Dealer,Luther St. Cloud Honda,4.8,4970,1500 Hwy 23 West Waite Park,MN,56387,Good,4.6,4.5,4.4,4.7,4.5,4.7,All-wheel Drive,26,36,Gasoline,Automatic CVT,2.5L H4 16V MPFI DOHC,4S3BNBL63F3F30592,220422B,80422
2020,Toyota,Highlander XLE,Used,"$43,991 ",4.6,102,Dealer,St. Cloud Toyota,4.8,4783,418 2ND ST SOUTH WAITE PARK,MN,56387,Good,4.6,4.6,4.7,4.5,4.7,4.8,All-wheel Drive,20,27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,5TDHZRBH5LS000643,T9695A,35603
2021,Toyota,Tacoma SR5,Used,"$42,000 ",4.8,85,Dealer,Luther St. Cloud Honda,4.8,4970,1500 Hwy 23 West Waite Park,MN,56387,Good,4.8,4.8,4.6,4.7,4.9,4.9,Four-wheel Drive,18,22,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,5TFCZ5AN5MX256707,220481A,16225
2016,Lincoln,MKC Select,Used,"$24,495 ",4.8,52,Dealer,Northtown Ford Inc,4.7,133,415 Cedar Ave W Menomonie,WI,54751,Good,4.9,4.8,4.8,4.5,4.9,4.8,All-wheel Drive,19,26,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5LMCJ2D93GUJ30669,4680A,45569
2017,Jeep,Grand Cherokee Limited,Used,"$27,991 ",4.8,334,Dealer,St. Cloud Toyota,4.8,4783,418 2ND ST SOUTH WAITE PARK,MN,56387,Good,4.8,4.8,4.7,4.6,4.8,4.8,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG8HC622485,9509A,82042
2020,Mazda,CX-5 Touring,Used,"$27,599 ",4.9,140,Dealer,Rochester Mazda,4.7,57,2955 48th St NW Rochester,MN,55901,Great,4.9,4.9,4.8,4.8,4.9,4.9,All-wheel Drive,24,30,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBCM9L0764636,Z5107,41727
2015,Chevrolet,Equinox 1LT,Used,"$18,995 ",4.6,296,Dealer,S & S Motors,4.6,17,133 Zieske Rd. Courtland,MN,56021,Good,4.7,4.6,4.4,4.5,4.7,4.6,All-wheel Drive,20,29,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,2GNFLFEK6F6123419,19428,60235
2020,Ford,Explorer Limited,Ford Certified,"$45,499 ",4.5,248,Dealer,Rochester Ford,4.6,284,4900 US-52 Rochester,MN,55901,Great,4.7,4.6,4.5,4.3,4.7,4.3,Four-wheel Drive,20,27,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FMSK8FH5LGB19684,P12143,23470
2020,GMC,Yukon SLT,Used,"$47,295 ",4.9,16,Dealer,S & S Motors,4.6,17,133 Zieske Rd. Courtland,MN,56021,Good,5,4.9,5,4.7,4.9,4.9,Four-wheel Drive,15,21,Gasoline,Automatic,5.3L V8 16V GDI OHV,1GKS2BKC9LR206217,19419,65712
2019,Jeep,Renegade Sport,Used,"$22,998 ",4.5,66,Dealer,Rochester Ford,4.6,284,4900 US-52 Rochester,MN,55901,Great,4.5,4.5,4.4,4.3,4.5,4.6,Four-wheel Drive,21,29,Gasoline,9-Speed Automatic,2.4L I4 16V MPFI SOHC,ZACNJBAB3KPK28597,HB223505,42861
2020,Ford,Explorer XLT,Ford Certified,"$39,998 ",4.5,248,Dealer,Rochester Ford,4.6,284,4900 US-52 Rochester,MN,55901,Good,4.7,4.6,4.5,4.3,4.7,4.3,Four-wheel Drive,20,27,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FMSK8DH8LGA79359,J1294,37594
2017,Ford,Explorer Limited,Used,"$27,125 ",4.7,364,Dealer,Tom Kadlec Honda,4.7,505,3333 Wilder Rd NW Rochester,MN,55901,Good,4.8,4.7,4.6,4.5,4.8,4.7,Four-wheel Drive,18,25,Gasoline,6-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FM5K8FH5HGA60303,X1691A,94646
2018,Ford,EcoSport SE,Used,"$20,000 ",4.5,202,Dealer,Don Johnson's Cumberland Motors Ford Chrysler Dodge Jeep RAM,4.6,135,1925 Elm St Cumberland,WI,54829,Fair,4.6,4.6,4.3,4.4,4.6,4.5,Front-wheel Drive,27,29,Gasoline,6-Speed Automatic,1.0L I3 12V GDI DOHC Turbo,MAJ3P1TE2JC160487,C160487,68471
2020,Ford,Edge SEL,Used,"$34,872 ",4.9,141,Dealer,Swant Graber Auto Group Chevrolet Dodge Ford RAM,4.5,150,1690 E Division Ave Barron,WI,54812,Good,4.9,4.9,4.9,4.8,4.9,4.9,All-wheel Drive,21,28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,2FMPK4J98LBB63586,02207A,23966
