Year,Make,Model,Used_or_New,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock,Mileage
2018,Tesla,Model 3 Long Range,Used,"$56,990 ",4.6,117,Dealer,Luther INFINITI of Bloomington,4.9,204,1500 W 81st St Bloomington,MN,55431,Good,4.7,4.7,4.9,4.4,4.7,4.6,All-wheel Drive,120,112,Electric,1-Speed Automatic,Electric,5YJ3E1EB6JF088165,P8180A,56046
2019,Audi,Q5 2.0T Premium Plus,Used,"$38,643 ",4.7,42,Dealer,Audi Richfield,4.1,8,1401 E 77th St Richfield,MN,55423,Good,4.8,4.6,4.7,4.5,4.7,4.7,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1BNAFY6K2029212,K2029212,49873
2019,Audi,Q5 2.0T Premium Plus,Used,"$42,977 ",4.7,42,Dealer,Audi Richfield,4.1,8,1401 E 77th St Richfield,MN,55423,Good,4.8,4.6,4.7,4.5,4.7,4.7,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1BNAFYXK2132553,K2132553,21978
2019,BMW,X5 xDrive40i,Used,"$54,190 ",4.7,55,Dealer,Motorwerks BMW,4.7,1669,1300 American Boulevard West Bloomington,MN,55420,Fair,5,4.9,4.9,4.4,4.7,4.6,All-wheel Drive,20,26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C50KLL10954,BN09189T,32415
2019,Mercedes-Benz,C-Class C 300 4MATIC,Used,"$38,742 ",4.8,40,Dealer,Feldmann Imports,4.8,631,4901 American Blvd W Bloomington,MN,55437,Good,4.8,4.8,4.8,4.5,4.8,4.7,All-wheel Drive,22,33,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55SWF8EB0KU315031,B2752A,13041
2019,Toyota,Highlander XLE,Used,"$38,998 ",4.6,363,Dealer,Walser Toyota,4.6,1179,4401 American Blvd W Minneapolis,MN,55437,Great,4.8,4.7,4.6,4.5,4.7,4.6,All-wheel Drive,20,26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/211,5TDJZRFHXKS711653,3BK067A,28695
2016,BMW,535 i xDrive,Used,"$23,294 ",4.7,28,Dealer,Luther Bloomington Hyundai,4.7,5568,4801 American Blvd W Bloomington,MN,55437,Good,4.8,4.7,4.7,4.4,4.7,4.7,All-wheel Drive,20,29,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA5B3C55GG252351,2279D,85418
2019,Mercedes-Benz,C-Class C 300 4MATIC,Mercedes-Benz Certified,"$38,271 ",4.8,40,Dealer,Feldmann Imports,4.8,631,4901 American Blvd W Bloomington,MN,55437,Great,4.8,4.8,4.8,4.5,4.8,4.7,All-wheel Drive,22,33,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55SWF8EBXKU319698,P14920,19362
2017,Subaru,Impreza 2.0i,Used,"$16,823 ",4.8,175,Dealer,North Imports,4.5,15,1705 Highway 13 East Burnsville,MN,55337,Great,4.7,4.7,4.6,4.8,4.8,4.8,All-wheel Drive,28,38,Gasoline,CVT 7-Speed,4 Cylinder Engine,4S3GKAA68H3601314,1314,40060
2019,Jeep,Compass Trailhawk,Used,"$29,998 ",4.5,163,Dealer,Walser Chrysler Jeep Dodge RAM,4.6,648,314 Main St. Hopkins,MN,55343,Good,4.6,4.7,4.2,4.3,4.8,4.4,Four-wheel Drive,22,30,Gasoline,Automatic,Regular Unleaded I-4 2.4 L/144,3C4NJDDB0KT630113,6AV189A,21747
