Year,Make,Model,used_or_new,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock,Mileage
2017,Nissan,Rogue SV,Used,"$19,698 ",4.7,547,Dealer,Richfield Bloomington Honda,4.7,1549,501 W 77th St Minneapolis,MN,55423,Great,4.7,4.7,4.6,4.7,4.8,4.7,All-wheel Drive,25,32,Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,5N1AT2MV1HC890849,19902,59407
2016,Volvo,XC60 T5 Premier,Used,"$22,134 ",4.9,34,Dealer,Audi Richfield,4.1,8,1401 E 77th St Richfield,MN,55423,Good,5,4.8,4.9,4.8,4.9,5,Front-wheel Drive,23,31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,YV440MDKXG2852579,G2852579,67156
2019,BMW,X7 xDrive40i,Used,"$70,200 ",4.1,22,Dealer,Motorwerks BMW,4.7,1669,1300 American Boulevard West Bloomington,MN,55420,Fair,4.5,4.6,4,3.4,4.5,3.5,All-wheel Drive,20,25,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCW2C53KL088718,BN02564T,31507
2019,BMW,330 i xDrive,Used,"$40,499 ",4.9,30,Dealer,Motorwerks BMW,4.7,1669,1300 American Boulevard West Bloomington,MN,55420,Fair,4.9,4.9,5,4.6,4.9,4.9,All-wheel Drive,25,34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA5R7C58KFH22585,B0636P,24273
2012,INFINITI,G37x Base,Used,"$17,990 ",4.7,9,Dealer,Drive Appeal Bloomington,4.7,138,9301 Lyndale Ave S Bloomington,MN,55420,Fair,4.6,4.2,5,4.9,4.9,4.7,All-wheel Drive,18,25,Gasoline,7-Speed Automatic,3.7L V6 24V MPFI DOHC,JN1CV6AR3CM680829,MM680829,82345
2019,Mercedes-Benz,C-Class C 300 4MATIC,Used,"$38,742 ",4.8,40,Dealer,Feldmann Imports,4.8,630,4901 American Blvd W Bloomington,MN,55437,Good,4.8,4.8,4.8,4.5,4.8,4.7,All-wheel Drive,22,33,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55SWF8EB0KU315031,B2752A,13040
2019,Toyota,Highlander XLE,Used,"$38,998 ",4.6,363,Dealer,Walser Toyota,4.6,1179,4401 American Blvd W Minneapolis,MN,55437,Good,4.8,4.7,4.6,4.5,4.7,4.6,All-wheel Drive,20,26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/211,5TDJZRFHXKS711653,3BK067A,28695
2019,Hyundai,Santa Fe SE 2.4,Used,"$26,935 ",4.8,205,Dealer,Luther Bloomington Hyundai,4.7,5560,4801 American Blvd W Bloomington,MN,55437,Good,4.9,4.9,4.6,4.8,4.9,4.8,All-wheel Drive,21,27,Gasoline,8-Speed Automatic,2.4L I4 16V GDI DOHC,5NMS2CAD5KH093509,76968A,14454
2017,GMC,Acadia Limited Limited,Used,"$24,997 ",4.7,61,Dealer,North Imports,4.5,15,1705 Highway 13 East Burnsville,MN,55337,Great,4.9,4.8,4.7,4.5,4.8,4.7,All-wheel Drive,15,22,Gasoline,Automatic 6-Speed,V6 Cylinder Engine,1GKKVSKD6HJ263898,3898,38708
2017,Subaru,Impreza 2.0i,Used,"$16,823 ",4.8,175,Dealer,North Imports,4.5,15,1705 Highway 13 East Burnsville,MN,55337,Great,4.7,4.7,4.6,4.8,4.8,4.8,All-wheel Drive,28,38,Gasoline,CVT 7-Speed,4 Cylinder Engine,4S3GKAA68H3601314,1314,40060
2019,Honda,CR-V EX-L,Honda Certified,"$33,595 ",4.8,540,Dealer,Luther Hopkins Honda ,4.8,2127,250 5th Ave S Hopkins,MN,55343,Good,4.8,4.8,4.7,4.7,4.8,4.8,All-wheel Drive,27,33,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RW2H86KL024097,221403A,12926
2017,Chevrolet,Cruze LT,Used,"$14,997 ",4.8,413,Dealer,North Imports,4.5,15,1705 Highway 13 East Burnsville,MN,55337,Good,4.8,4.7,4.7,4.7,4.8,4.8,Front-wheel Drive,29,38,Gasoline,Automatic 6-Speed,4 Cylinder Engine,3G1BE6SM0HS587634,7634,75453
