Year,Make,Model,Used_or_New,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock,Mileage
2020,Jaguar,F-PACE 25t Premium,Used,40699,4.8,20,Dealer,Jaguar Land Rover Richfield,5.0,3,1525 E 77th Street Richfield,MN,55423,Great,4.8,4.8,5.0,4.6,5.0,4.8,All-wheel Drive,22,27,Gasoline,Automatic,I4,SADCJ2FX9LA644125,JP10312,50618
2019,Audi,SQ5 3.0T Premium,Used,55997,4.8,7,Dealer,Audi Richfield,4.1,8,1401 E 77th St Richfield,MN,55423,Good,4.6,4.9,4.9,4.9,4.6,4.9,All-wheel Drive,19,24,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WA1B4AFY4K2001881,K2001881,20371
2020,BMW,X7 xDrive40i,Used,72990,4.9,22,Dealer,Motorwerks BMW,4.7,1669,1300 American Boulevard West Bloomington,MN,55420,Fair,5.0,5.0,5.0,4.7,4.9,4.9,All-wheel Drive,20,25,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCW2C0XL9C21898,BN38480T,30189
2019,Lincoln,Nautilus Reserve,Used,39934,4.7,100,Dealer,Lincoln of Bloomington,4.5,540,1001 Clover Dr S Bloomington,MN,55420,Good,4.9,4.6,4.6,4.4,4.9,4.7,All-wheel Drive,20,25,Gasoline,8-Speed Automatic,2.7L V6 24V GDI DOHC Twin Turbo,2LMPJ8LP5KBL41348,220047A,47009
2019,Audi,Q8 3.0T Premium,Used,64450,4.8,27,Dealer,Motorwerks BMW,4.7,1669,1300 American Boulevard West Bloomington,MN,55420,Fair,4.9,4.8,4.8,4.6,5.0,4.9,All-wheel Drive,17,22,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WA1EVAF19KD043058,BN29678T,33621
2019,Audi,SQ5 3.0T Premium,Used,51401,4.8,7,Dealer,Audi Richfield,4.1,8,1401 E 77th St Richfield,MN,55423,Good,4.6,4.9,4.9,4.9,4.6,4.9,All-wheel Drive,19,24,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WA1C4AFYXK2069963,K2069963A,39334
2019,BMW,X5 xDrive40i,Used,52000,4.7,55,Dealer,Motorwerks BMW,4.7,1669,1300 American Boulevard West Bloomington,MN,55420,Fair,5.0,4.9,4.9,4.4,4.7,4.6,All-wheel Drive,20,26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C50KLK88034,BC76113T,46694
2020,BMW,X7 xDrive40i,Used,70499,4.9,22,Dealer,Motorwerks BMW,4.7,1669,1300 American Boulevard West Bloomington,MN,55420,Fair,5.0,5.0,5.0,4.7,4.9,4.9,All-wheel Drive,20,25,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCW2C07L9B00150,B0677P,38695
2019,Cadillac,XT5 Luxury,Used,37997,4.6,95,Dealer,Audi Richfield,4.1,8,1401 E 77th St Richfield,MN,55423,Good,4.8,4.7,4.6,4.4,4.7,4.5,All-wheel Drive,18,25,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKNDRS3KZ125797,KZ125797,42811
2015,Honda,Pilot EX-L,Used,28599,4.8,112,Dealer,Walser Toyota,4.6,1180,4401 American Blvd W Minneapolis,MN,55437,Great,4.8,4.7,4.7,4.8,4.6,4.9,Four-wheel Drive,17,24,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF4H77FB069093,14BX393P,32542
2021,GMC,Yukon Denali,Used,82998,4.0,24,Dealer,Walser Toyota,4.6,1180,4401 American Blvd W Minneapolis,MN,55437,Good,4.3,4.5,4.2,3.4,4.7,3.5,Four-wheel Drive,14,19,Gasoline,Automatic,Gas V8 6.2L/,1GKS2DKL3MR412632,14BW430P,17176
2021,Toyota,RAV4 XLE,Used,36599,4.8,103,Dealer,Walser Toyota,4.6,1180,4401 American Blvd W Minneapolis,MN,55437,Great,4.8,4.8,4.8,4.7,4.9,4.9,All-wheel Drive,27,33,Gasoline,Automatic,Regular Unleaded I-4 2.5 L/152,2T3P1RFV6MC171163,3BK221L,14226
2020,Toyota,Sienna XLE,Used,31974,4.7,36,Dealer,North Imports,4.5,15,1705 Highway 13 East Burnsville,MN,55337,Great,4.7,4.8,4.8,4.5,4.8,4.8,Front-wheel Drive,19,26,Gasoline,Automatic 8-Speed,V6 Cylinder Engine,5TDYZ3DC5LS056371,6371,9169
2012,Honda,Pilot Touring,Used,18997,4.6,114,Dealer,North Imports,4.5,15,1705 Highway 13 East Burnsville,MN,55337,Good,4.6,4.5,4.5,4.5,4.5,4.7,Four-wheel Drive,17,24,Gasoline,Automatic 5-Speed,V6 Cylinder Engine,5FNYF4H91CB028584,8584,68035
2014,Subaru,Outback 2.5i Premium,Used,15273,4.6,145,Dealer,North Imports,4.5,15,1705 Highway 13 East Burnsville,MN,55337,Great,4.6,4.6,4.4,4.5,4.6,4.6,All-wheel Drive,24,30,Gasoline,CVT,4 Cylinder Engine,4S4BRCDC6E3313673,SMD3673,58129
2020,Honda,CR-V EX-L,Honda Certified,32595,4.8,269,Dealer,Luther Hopkins Honda ,4.8,2146,250 5th Ave S Hopkins,MN,55343,Good,4.9,4.8,4.8,4.8,4.9,4.9,All-wheel Drive,27,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRW2H82LH687145,221274A,48361
2016,Chevrolet,Silverado 1500 LT,Used,23975,4.6,178,Dealer,RAVMOTORS,4.9,1084,3635 Minnesota 13 W Burnsville,MN,55337,Great,4.7,4.6,4.6,4.3,4.8,4.5,Four-wheel Drive,17,22,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GCVKREC8GZ170071,B103239S,83779
2021,GMC,Yukon Denali,Used,82997,4.0,24,Dealer,Suburban Chevrolet,4.6,2936,12475 Plaza Dr Eden Prairie,MN,55344,Fair,4.3,4.5,4.2,3.4,4.7,3.5,Four-wheel Drive,14,19,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GKS2DKL3MR279256,10070,11500
2019,MINI,Countryman Cooper S ALL4,Used,30988,4.8,17,Dealer,Motorwerks MINI,4.8,182,705 Louisiana Ave S Golden Valley,MN,55426,Great,4.9,4.9,4.9,4.5,4.8,4.9,All-wheel Drive,21,30,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WMZYT5C55K3G90671,M3377LR,18624
2019,Jeep,Grand Cherokee Limited,Used,38980,4.8,225,Dealer,Park Chrysler Jeep,4.7,875,1408 MN-13 Burnsville,MN,55337,Good,4.9,4.9,4.8,4.6,4.9,4.8,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG2KC696802,UT69295A,44423
2018,Honda,HR-V LX,Used,19998,4.7,205,Dealer,Import Auto Sales,4.2,100,730 Florida Ave S Golden Valley,MN,55426,Great,4.7,4.5,4.7,4.6,4.8,4.8,All-wheel Drive,27,31,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU6H31JG727734,MS227734RE,21053
2021,Mercedes-Benz,GLC 300 Base 4MATIC,Used,46599,4.7,16,Dealer,Park Chrysler Jeep,4.7,875,1408 MN-13 Burnsville,MN,55337,Good,4.9,4.8,4.7,4.6,4.8,4.5,All-wheel Drive,21,28,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1N0G8EB7MF888360,UT69217A,11756
2021,Maserati,Levante GranSport,Used,74500,4.6,1,Dealer,Morrie's Luxury Auto,4.4,149,7300 Wayzata Blvd Golden Valley,MN,55426,Great,5.0,4.0,5.0,4.0,5.0,4.0,All-wheel Drive,16,22,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,ZN661XUA5MX370875,BR14115,11610
2020,Jaguar,F-PACE 25t Premium,Used,43999,4.8,20,Dealer,Jaguar Land Rover Minneapolis,4.7,1038,8905 Wayzata Blvd Minneapolis,MN,55426,Great,4.8,4.8,5.0,4.6,5.0,4.8,All-wheel Drive,22,27,Gasoline,Automatic,I4,SADCJ2FX4LA636689,R500J,25705
2020,Jaguar,F-PACE 25t Premium,Used,44444,4.8,20,Dealer,Jaguar Land Rover Minneapolis,4.7,1038,8905 Wayzata Blvd Minneapolis,MN,55426,Great,4.8,4.8,5.0,4.6,5.0,4.8,All-wheel Drive,22,27,Gasoline,Automatic,I4,SADCJ2FX3LA623531,R485J,29316
2021,Land,Rover Range Rover Sport 3.0 Supercharged HST,Used,92999,4.8,6,Dealer,Jaguar Land Rover Minneapolis,4.7,1038,8905 Wayzata Blvd Minneapolis,MN,55426,Good,4.8,4.8,5.0,4.3,5.0,4.7,Four-wheel Drive,19,24,Gasoline,Automatic,V6,SALWS2RU0MA776577,P8140,18748
2019,Honda,Odyssey EX-L,Used,38599,4.6,133,Dealer,Walser Honda,4.7,588,14800 Buck Hill Rd Burnsville,MN,55306,Good,4.8,4.6,4.5,4.3,4.7,4.5,Front-wheel Drive,19,28,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNRL6H7XKB126051,8BF494L,29022
2020,Nissan,Altima 2.5 S,Used,26996,4.7,91,Dealer,Volkswagen of Inver Grove,4.9,751,1325 50th St E Inver Grove Heights,MN,55077,Good,4.8,4.7,4.6,4.6,4.8,4.7,All-wheel Drive,26,36,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,1N4BL4BW7LC257500,IG5125P,21239
2020,Lexus,NX 300 Base,Used,39999,4.8,38,Dealer,Apple Ford Lincoln Apple Valley,4.7,1608,7200 150th St W Apple Valley,MN,55124,Great,4.8,4.8,4.8,4.7,4.8,4.9,All-wheel Drive,22,28,Gasoline,6-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,JTJGARDZXL5003209,A5346A,14092
2020,Jaguar,F-PACE 25t Premium,Used,44999,4.8,20,Dealer,Apple Ford Lincoln Apple Valley,4.7,1608,7200 150th St W Apple Valley,MN,55124,Great,4.8,4.8,5.0,4.6,5.0,4.8,All-wheel Drive,22,27,Gasoline,Automatic,I4,SADCJ2FX7LA617778,85471A,24346
